,Job position,Company,Location,Dimension,Candidates,Post time,JavaScript,Python,C#,Ruby,.Net,SQL,Angular.js,React.js,Node.js,Java,Links,Body
0,Full stack Developer (C# and JavaScript),BOLD by Devoteam,"Lisboa, Lisboa, Portugal",501-1.000 funcionários,68 candidatos,Anunciada há 1 dia,1,0,1,0,0,1,0,1,0,0,https://www.linkedin.com/jobs/view/1453519633/?eBP=CwEAAAF3Ta7b-GQsE8ENSgKfLtEcJ3CGf7bCLPh2gM4sT_mmBS_Xje0F3Xvbk42CyPIdkEu6XNw7ZunzM1xml6el0RDeFhqg1ZmUidMGrjugjkUG3nwMthaBZkN7UW4eLz3pt9fe0L0YdvCNGz2eltWb_ytKbcKtoKK1eHGTET_DTJWbb8QpBf5ot8YYk8YhCs8vq3S6XogvmNao6go8vYORGrHTwZ_nfcp5QSrBYBwouYSvXn3Az-rfmuSG3OO58ZAdHSJd4bBtrrPSlO-FAjqNWMNlS5BTq1itXQnXBc_7JhlocxRClqfJ0U_HavI1l7oTIRmtMzLjAljyCJIHCV0EODmut8El5nJIGFuEQ-uk&recommendedFlavor=SCHOOL_RECRUIT&refId=QjvvH%2FB2pH2S9INd1AhB3g%3D%3D&trackingId=qaNz3vvk%2F2BVXSVodFHuGw%3D%3D&trk=flagship3_search_srp_jobs,anunciada por carina cruz 2° talent spotter | bold by devoteam || recruiter & team worker || hiring it talent envie inmail the passion for what we do has no boundaries  our resilience is authentic and our courage is limitless when facing new challenges  we are proud of the culture we have built together  we are proud of our people at the service of technology  #techforpeople   our positioning about covid-19: due to the particular times we are facing and in order to protect our candidates and interviewers health and well being  all interviews will be held through video conference  we've created a remote onboarding process to ensure that new starters have all the knowledge they need to be able to start this new career phase   about the offer we are currently looking for a full stack developer  c# and javascript     the desired qualifications and skills are: degree in computer science or similar  full stack experience in c# and javascript  development experience  3  years   experience with high-scale web applications  distributed systems and apis  experienced in devops and promoter of automation  cloud infrastructure  azure  aws  oo  distributed and architectural design patterns  sql  nosql  redis  elastic  javascript  react  redux  storybook  grunt  webpack  docker  kubernetes  terraform  pulumi  fluency in english   these are our mindsets and what you can expect from us: fair & courageous we promote ask me anything sessions  a moment where any employee can question  suggest or share any topic live with the ceo  we have a referral program that financially recognizes our employees for helping the company grow  ambition & results we believe in supporting the personal and professional growth of our employees  that’s why we have a differentiated career path management supported by a transparent model  capable of identifying  developing and adding value to your skills  we’ve created a strategic gatherings concept  a moment where information about the company's performance is shared and where we discuss short-term prospects for the future  we are focused on a thought leadership program that aims to promote and develop our employees' talent  experience and passion for technology  learning & innovating we hold informal meetings to promote knowledge sharing moments between our employees and the technological community  we invest in the continuous training of our employees through technical and behavioral workshops  language classes  external funded training and certifications and by establishing partnerships with training providers  caring & sharing we created the blue angels  a social and environmental responsibility program that puts the solidarity of our employees at the service of the community  we love some good socializing moments and we hold as many as we can  from monthly themed meetings to family events  we never say no to a good party   about bold we are focused on developing and delivering innovative technological solutions through a unique combination of technology expertise and agility  maximizing business value for our clients  our focus when it comes to supporting our client’s digital journey is about clear choices that build & develop skills in a very targeted way  since 2018  bold by devoteam has been part of the devoteam group  a global leading player in digital transformation for leading organisations across emea  with a revenue of €761m  together  we share a common vision of transforming technology to create value for our clients  partners and employees in a world where technology is developed for people   want to apply? send me your cv to carinacruz@boldint com   nível de experiência pleno-sênior setor tecnologia da informação e serviços tipo de emprego tempo integral funções de trabalho tecnologia da informação
2,Java FullStack Developer,BOLD by Devoteam,Lisboa e Região,501-1.000 funcionários,94 candidatos,Data do anúncio,1,0,0,0,0,0,1,1,0,1,https://www.linkedin.com/jobs/view/1605312918/?eBP=CwEAAAF3Ta7b-INgxETFSeP58cV_MzFrU64llSGrq0HaSbUVb1mEZRpV5_0acLpLLtmRM5A9hZ5K9pBor-atCGaWXa4oTb0VnwoQjLLG1y1nEk_z6gRyYMqjH3rXFumVAjlge2J9_EVax29hgVevPku3K7Wf9JH5-zruaeGgeg4akV2qODRvNE6hNQImO8CZkekdA2FPYe-6Bk3zt7FGs9BHDovsrOOGYUObkbJqBBx5Q0umVL1L28zmYOue_c6gC-ehl4zaekMZIRZSaRH6AgEAnJpsL6_-qgg20PCXet3cU6hLx0uvHcEtOsxyibALzEDgo4tZv7fgAqtCV80BQpqDmE6sfl8rC2Q_DRkuTcNr&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=QjvvH%2FB2pH2S9INd1AhB3g%3D%3D&trackingId=ijX6vyvqSyfdnzqaT7WrPw%3D%3D&trk=flagship3_search_srp_jobs,anunciada por patricia silva 2° talent spotter na bold by devoteam || hiring top talents in it envie inmail queres saber qual o significado “ser bold”?  ser bold é abrir caminho no universo da tecnologia  inspirar-se e inspirar outros  construímos caminhos para atingir novas etapas com equipas fortes e capazes  aproveitar cada viagem faz parte do nosso adn   we are driving technology  e tu? és bold o suficiente para esta viagem? se sim  junta-te a nós!  tens este perfil?  licenciatura mestrado em engenharia informática ou similar  preferencial   experiência em desenvolvimento java experiência com spring  hibernate  ejb  experiência desenvolvimento javascript  conhecimentos de react   angular  e vue  são um plus   bons conhecimentos de inglês    ainda não ficaste convencido a fazer a tua candidatura?  mais do que criar soluções  desafiamos e inspiramos as nossas pessoas a ir mais longe e a entregar inovação a qualquer hora  em qualquer lugar  podemos desafiar-te a ser bold? nível de experiência júnior setor tecnologia da informação e serviços tipo de emprego tempo integral funções de trabalho tecnologia da informação
4,Full Stack Engineer,BOLD by Devoteam,"Porto, Portugal",501-1.000 funcionários,4 candidatos,Anunciada há 6 dias,1,0,0,0,0,0,1,1,1,0,https://www.linkedin.com/jobs/view/2390658799/?eBP=CwEAAAF3Ta7b-Ng0pqRDmdPBvGG5zli3Ot3LXAAkwHyvaeEl17QPXgm4Slzrg5WYyVKG8C6nhqFK0KiXxOEzRxwddglldppfPQuZk7MUwLCpVxKEY4UzZ1IUvlgeDyoGHw3lVvXPJVnsIkcNJBme2F2ueXWN0m-XiIRtZ73S4mW6rDJQbKzcWniAaNX1xD52a1G_pBNzyBYf_kk5UptqzKBQb423NgYNkHGvlhQYFiLwRJ1kfg0lQhjfydHondMK1UvkCq0z8Cz5NN7eIwyMjB0ai5eolp2rVD2YnSzJ3FSl5ONFEKRo7ADZx_KdBDU1wqBLFWR850j_1nfgFx86rCPLzr8HbkTzirHBCWRcIg&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=QjvvH%2FB2pH2S9INd1AhB3g%3D%3D&trackingId=0ItYOy9XfWcy7LfcFDV1ew%3D%3D&trk=flagship3_search_srp_jobs,anunciada por tânia isabel de sousa mota talent spotter na bold by devoteam envie inmail the passion for what we do has no boundaries  our resilience is authentic and our courage is limitless when facing new challenges  we are proud of the culture we have built together  we are proud of our people at the service of technology  #techforpeople   our positioning about covid-19: due to the particular times we are facing and in order to protect our candidates and interviewers health and well being  all interviews will be held through video conference  we've created a remote onboarding process to ensure that new starters have all the knowledge they need to be able to start this new career phase   about the offer we are currently looking for a fullstack developer  about you: excellent knowledge of javascript solid experience with node   development  including related frameworks  such as express  will be valued good knowledge of javascript frameworks  react  angular or alternatives   it would be nice if you have  experience with javascript testing  mocha  jasmine or others  experience developing for a micro-service or soa architecture good knowledge of mongodb and redis experience using docker  these are our mindsets and what you can expect from us: fair & courageous we promote ask me anything sessions  a moment where any employee can question  suggest or share any topic live with the ceo  we have a referral program that financially recognizes our employees for helping the company grow  ambition & results we believe in supporting the personal and professional growth of our employees  that’s why we have a differentiated career path management supported by a transparent model  capable of identifying  developing and adding value to your skills  we’ve created a strategic gatherings concept  a moment where information about the company's performance is shared and where we discuss short-term prospects for the future  we are focused on a thought leadership program that aims to promote and develop our employees' talent  experience and passion for technology  learning & innovating we hold informal meetings to promote knowledge sharing moments between our employees and the technological community  we invest in the continuous training of our employees through technical and behavioral workshops  language classes  external funded training and certifications and by establishing partnerships with training providers  caring & sharing we created the blue angels  a social and environmental responsibility program that puts the solidarity of our employees at the service of the community  we love some good socializing moments and we hold as many as we can  from monthly themed meetings to family events  we never say no to a good party   about bold we are focused on developing and delivering innovative technological solutions through a unique combination of technology expertise and agility  maximizing business value for our clients  our focus when it comes to supporting our client’s digital journey is about clear choices that build & develop skills in a very targeted way  since 2018  bold by devoteam has been part of the devoteam group  a global leading player in digital transformation for leading organisations across emea  with a revenue of €761m  together  we share a common vision of transforming technology to create value for our clients  partners and employees in a world where technology is developed for people   want to apply? send me your cv tania mota@devoteam com nível de experiência pleno-sênior setor tecnologia da informação e serviços tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
6,Full Stack Engineer (Stockholm based),Hemnet,"Lisboa, Portugal",51-200 funcionários,18 candidatos,Anunciada há 3 semanas,1,0,0,1,0,0,0,1,0,0,https://www.linkedin.com/jobs/view/2335228831/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=QjvvH%2FB2pH2S9INd1AhB3g%3D%3D&trackingId=K8r51fw2Zi2btuwTrjIw9Q%3D%3D&trk=flagship3_search_srp_jobs,hemnet  sweden's biggest property portal  is many swedes' favorite place online  here people find joy  inspiration and – most important - their new homes  as a developer at hemnet you will face fun challenges when developing ideas for products affecting people's lives in a positive way   hemnet is now looking for a fullstack developer for our officies based in stockholm  sweden  if you are an applicant living outside of sweden we would assist you with your relocation to stockholm   initiate discussions and make design decisions with us  you’ll be involved in developing web applications in one of our six development teams  the teams at hemnet are self-propelled and cross-functional  which means that you’ll be a part of the entire product development cycle  you’ll have a great deal of involvement in the development of hemnet's products and services - everything from taking quick design decisions to running your own initiatives  we work data-driven in close collaboration with each other- exploring small things  test and iterate  we validate against real data so we don't have to waste time and instead learn a lot of new insights   what you’ll do at hemnet as fullstack developer: be an important part of a cross-functional team with joint product responsibility - together we bring the product forward  take quick decisions with an experimental approach   be involved in the whole cycle of the product - from idea vision to production  and from implementation to support   write tests for your applications and do your own deployments to our staging and production environments in aws   work closely with product managers and other roles within ux design  user research  data analysis and frontend   be part of an agile team where retros  sprints  demos and continuous delivery are part of the everyday work life  work in a friendly and caring company culture where transparency  work-life balance and well-being are high up on the company's agenda    what we want from you:   understand the challenges of managing a larger website with many visitors  a large amount of data and swift changes in structure and content  share knowledge and contribute to discussions around technologies and your projects   take part in product development  be a true team player    technologies at hemnet: javascript  react    ruby  rails  graphql docker postgresql aws  as one of our 30 developers     … you’ll release daily  what you build in the morning can be in production for our millions of visitors already after lunch  thanks to our large amount of traffic  we quickly get good feedback from experiments  the possibilities are great  you get the chance to test and learn new things and we solve challenges together    we do  of course  have developer breakfasts  hack days and trainings to help you try out new technology and grow in your role   if you think it is exciting to join and take sweden's largest housing portal to the next step - do not hesitate to send your application away! nível de experiência pleno-sênior setor imobiliário tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
8,Java Full Stack Developer (GLAD),Axians Portugal,"Lisboa, Lisboa, Portugal",501-1.000 funcionários,0 candidatos,Anunciada há 1 dia,0,0,0,0,0,0,0,1,0,1,https://www.linkedin.com/jobs/view/2397812915/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=QjvvH%2FB2pH2S9INd1AhB3g%3D%3D&trackingId=KLoOapbl2fQ87UjyBVSNBw%3D%3D&trk=flagship3_search_srp_jobs,the world is more connected than ever before and the pace of change is bewildering  we deliver the best combination of technology and services to enable our clients to fulfil the diverse needs of their customers  by fostering a deeply and personal relationship with our clients  we want to improve the lives of people and organizations   axians is the vinci energies brand dedicated to ict and digital transformation  we’re present across 23 countries  with more than 11 000 employees and an annual revenue of more than 2 5 billion euros  in 2019   the best of ict with a human touch  function: java fullstack developer workplace: lisbon  technical requirements  2 years of experience in java projects  experience with vue   or react  experience with jee - spring framework spring boot  experience with hibernate jpa querydsl  experience with rest webservices  proficiency in english is mandatory  experience with jenkins  docker and kubernetes is a plus  behavioral profile: rigor  responsiveness  strong autonomy and proactivity  strong communication skills  written and oral  client focus   send the cv preferably in english and in europass format to: recrutamento axianspt@axians com indicating in the title the reference jfsd re db nível de experiência assistente setor tecnologia da informação e serviços software internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
10,Full stack (Java/React or Angular),BOLD by Devoteam,"Lisboa, Lisboa, Portugal",501-1.000 funcionários,69 candidatos,Anunciada há 1 dia,1,0,0,0,0,0,1,1,0,1,https://www.linkedin.com/jobs/view/1702095629/?eBP=CwEAAAF3Ta7b-CRPxqPn3I7Oo4aSUJustJ_64IvaT1Os_Mtl7_0oJR1Xxqy3VZPnfnEgFcyKQbHey5uhNqJT1nUwmdm5HDsnb9HajxyKITSEfquSqyXWF2_UGxfHkcIgUke4QrQ94qZyRuPvUcei8OEf4YRngNsUjEiZP0dulIPHYVWHdI9OrlPsiKsSjWq0yDTiW8mCofogz1unPGIIKmqCd3ijGyZOaDO71SIxPBVKaW9ksrEf-2oxDOZXS-OCzbKSptBCug5LJuSSD4II2W30I1rkJe52NmYJ7r2zxOC-uawBj5fren7xf2jSVHmIV1-5Lb0eXd3M6FE1GJrdj__KdVjV8QRP6vBtOmmzxzhn&recommendedFlavor=SCHOOL_RECRUIT&refId=QjvvH%2FB2pH2S9INd1AhB3g%3D%3D&trackingId=GBCfrRiXMUa4tT8zfH1p0Q%3D%3D&trk=flagship3_search_srp_jobs,the passion for what we do has no boundaries  our resilience is authentic and our courage is limitless when facing new challenges  we are proud of the culture we have built together  we are proud of our people at the service of technology  #techforpeople   our positioning about covid-19: due to the particular times we are facing and in order to protect our candidates and interviewers health and well being  all interviews will be held through video conference  we've created a remote onboarding process to ensure that new starters have all the knowledge they need to be able to start this new career phase   about the offer we are currently looking for a full stack  java react or angular    the desired qualifications and skills are: higher education in computer engineering or similar  2  years of experience as a java software developer  html  css and javascript  ext    react   or angular     solid knowledge of spring framework  knowledge of web architectures and services  http  soap  rest   on  etc    knowledge of agile development methodologies  nice to have   experience with continuous integration tools  like git  jira  jenkins  maven  availability to travel  short-term periods   fluent in english  oral and written    these are our mindsets and what you can expect from us: fair & courageous we promote ask me anything sessions  a moment where any employee can question  suggest or share any topic live with the ceo  we have a referral program that financially recognizes our employees for helping the company grow  ambition & results we believe in supporting the personal and professional growth of our employees  that’s why we have a differentiated career path management supported by a transparent model  capable of identifying  developing and adding value to your skills  we’ve created a strategic gatherings concept  a moment where information about the company's performance is shared and where we discuss short-term prospects for the future  we are focused on a thought leadership program that aims to promote and develop our employees' talent  experience and passion for technology  learning & innovating we hold informal meetings to promote knowledge sharing moments between our employees and the technological community  we invest in the continuous training of our employees through technical and behavioral workshops  language classes  external funded training and certifications and by establishing partnerships with training providers  caring & sharing we created the blue angels  a social and environmental responsibility program that puts the solidarity of our employees at the service of the community  we love some good socializing moments and we hold as many as we can  from monthly themed meetings to family events  we never say no to a good party   about bold we are focused on developing and delivering innovative technological solutions through a unique combination of technology expertise and agility  maximizing business value for our clients  our focus when it comes to supporting our client’s digital journey is about clear choices that build & develop skills in a very targeted way  since 2018  bold by devoteam has been part of the devoteam group  a global leading player in digital transformation for leading organisations across emea  with a revenue of €761m  together  we share a common vision of transforming technology to create value for our clients  partners and employees in a world where technology is developed for people   want to apply? send me your cv to carinacruz@boldint com nível de experiência júnior setor tecnologia da informação e serviços tipo de emprego tempo integral funções de trabalho tecnologia da informação
12,Java Fullstack Developer,BOLD by Devoteam,"Porto, Portugal",501-1.000 funcionários,73 candidatos,Anunciada há 1 semana,1,0,0,0,0,0,1,1,0,1,https://www.linkedin.com/jobs/view/1968849741/?eBP=CwEAAAF3Ta7b-Biw-r_3X45gqF5qS1b6fKVb2rTaky7w8wX8KTrlWR8CmrX5iz91w-G82habhdt5BebgIHLseJCjLlEuDmMYx7scDsJpmv2m7hB0esxCY3ZbpQLXhmoDfi6-mwbZ850-Bbbu-wa1DFcB8nY8BFDAHCfNtxIDxcVBLZo1DNt4tHmNzFmfiN7u05-qcnCUl22XhvJ7M7s4srB1Bv5cRk_p0QH2GHAUEZ-EFf7QvzeGxBpmr7vTXwNW2F6Uy1cKAppOs0TAxGn5E9SI4XpEvEEgNB1JBW8y7z7DNlWbIsO9F0C6bUPm7JvaZD2OmFnvUSMGnP-m5rB6HdkZN3G6fc7ozfzLmZ01pw&recommendedFlavor=SCHOOL_RECRUIT&refId=QjvvH%2FB2pH2S9INd1AhB3g%3D%3D&trackingId=qOXS2TNq1wuTvf1Nb93bxg%3D%3D&trk=flagship3_search_srp_jobs,anunciada por inês coelho talent spotter | bold by devoteam || hiring the best it talents || recruitment team leader envie inmail the passion for what we do has no boundaries  our resilience is authentic and our courage is limitless when facing new challenges  we are proud of the culture we have built together  we are proud of our people at the service of technology  #techforpeople   our positioning about covid-19: due to the particular times we are facing and in order to protect our candidates and interviewers health and well being  all interviews will be held through video conference  we've created a remote onboarding process to ensure that new starters have all the knowledge they need to be able to start this new career phase   about the offer we are currently looking for a java fullstack developer    the desired qualifications and skills are: bachelor’s degree in the it area or equivalent   software engineering background with experience in oo programming and tdd  proficient web service application development in java and spring framework  experience with javascript frameworks - react  vue  and angular  devops experience configuration management  containers  virtualization  continuous integration and deployment working with relational and non relational databases  fluency in english  written and spoken     these are our mindsets and what you can expect from us: fair & courageous we promote ask me anything sessions  a moment where any employee can question  suggest or share any topic live with the ceo  we have a referral program that financially recognizes our employees for helping the company grow  ambition & results we believe in supporting the personal and professional growth of our employees  that’s why we have a differentiated career path management supported by a transparent model  capable of identifying  developing and adding value to your skills  we’ve created a strategic gatherings concept  a moment where information about the company's performance is shared and where we discuss short-term prospects for the future  we are focused on a thought leadership program that aims to promote and develop our employees' talent  experience and passion for technology  learning & innovating we hold informal meetings to promote knowledge sharing moments between our employees and the technological community  we invest in the continuous training of our employees through technical and behavioral workshops  language classes  external funded training and certifications and by establishing partnerships with training providers  caring & sharing we created the blue angels  a social and environmental responsibility program that puts the solidarity of our employees at the service of the community  we love some good socializing moments and we hold as many as we can  from monthly themed meetings to family events  we never say no to a good party   about bold we are focused on developing and delivering innovative technological solutions through a unique combination of technology expertise and agility  maximizing business value for our clients  our focus when it comes to supporting our client’s digital journey is about clear choices that build & develop skills in a very targeted way  since 2018  bold by devoteam has been part of the devoteam group  a global leading player in digital transformation for leading organisations across emea  with a revenue of €761m  together  we share a common vision of transforming technology to create value for our clients  partners and employees in a world where technology is developed for people   want to apply? send me your cv to ines coelho@devoteam com nível de experiência pleno-sênior setor tecnologia da informação e serviços tipo de emprego tempo integral funções de trabalho tecnologia da informação
14,Node.js Developer,BOLD by Devoteam,"Lisboa, Portugal",501-1.000 funcionários,15 candidatos,Anunciada há 3 semanas,0,0,0,0,0,0,0,0,1,0,https://www.linkedin.com/jobs/view/2372050647/?eBP=CwEAAAF3Ta7b-HqGGdnj0vQPiczRnW89kc3tzYGdT06iuzGQB33W0--NiKP-UADZKUNftxZrUbalq1Tds9VrttE2rKjbRM0Srv5k2Sz5ic_6Ix20821cd7l90_d91Dw-M2mtZwGKFYniPPAjhM3X7Kt15z5VCzwUeHGemxTA5R7bvEEyOqI1SG9NiTdCoq0BXGon7iOqfvPvz1_Sw039am8jOHS2VtonG_d5Bho-67qglA0t4aF4f0wkOKYijxrPO1fruZSGsMYXfnT7SsCcUCCDVwMeH3tO2QwUmQUdBXPR8NsgXtZWGK8GTVBwM0x5iOMzY27MUAcQOC99atkh2SMZBa4eJwcI2R667Sw&recommendedFlavor=SCHOOL_RECRUIT&refId=QjvvH%2FB2pH2S9INd1AhB3g%3D%3D&trackingId=EguRsfGSyYXS3b8H5hxo9A%3D%3D&trk=flagship3_search_srp_jobs,anunciada por sara sousa 2° talent spotter | hiring manager na bold by devoteam envie inmail the passion for what we do has no boundaries  our resilience is authentic and our courage is limitless when facing new challenges  we are proud of the culture we have built together  we are proud of our people at the service of technology  #techforpeople   our positioning about covid-19: due to the particular times we are facing and in order to protect our candidates and interviewers health and well being  all interviews will be held through video conference  we've created a remote onboarding process to ensure that new starters have all the knowledge they need to be able to start this new career phase   about the offer we are currently looking for a node   developer   the desired qualifications and skills are: bachelor’s degree in the it area or equivalent  experience as a backend full-stack engineer  experience with node   and typescript  good knowledge of restapis  experience testing applications  through unit  behaviour and integration tests  experience working with ci   cd pipelines  fluency in english  written and spoken    these are our mindsets and what you can expect from us:  fair & courageous we promote ask me anything sessions  a moment where any employee can question  suggest or share any topic live with the ceo  we have a referral program that financially recognizes our employees for helping the company grow  ambition & results we believe in supporting the personal and professional growth of our employees  that’s why we have a differentiated career path management supported by a transparent model  capable of identifying  developing and adding value to your skills  we’ve created a strategic gatherings concept  a moment where information about the company's performance is shared and where we discuss short-term prospects for the future  we are focused on a thought leadership program that aims to promote and develop our employees' talent  experience and passion for technology  learning & innovating we hold informal meetings to promote knowledge sharing moments between our employees and the technological community  we invest in the continuous training of our employees through technical and behavioral workshops  language classes  external funded training and certifications and by establishing partnerships with training providers  caring & sharing we created the blue angels  a social and environmental responsibility program that puts the solidarity of our employees at the service of the community  we love some good socializing moments and we hold as many as we can  from monthly themed meetings to family events  we never say no to a good party   about bold we are focused on developing and delivering innovative technological solutions through a unique combination of technology expertise and agility  maximizing business value for our clients  our focus when it comes to supporting our client’s digital journey is about clear choices that build & develop skills in a very targeted way   since 2018  bold by devoteam has been part of the devoteam group  a global leading player in digital transformation for leading organisations across emea  with a revenue of €761m  together  we share a common vision of transforming technology to create value for our clients  partners and employees in a world where technology is developed for people   want to apply? nível de experiência pleno-sênior setor tecnologia da informação e serviços tipo de emprego tempo integral funções de trabalho tecnologia da informação
16,Senior Full-Stack Developer,Prodsmart,"Lisboa, Portugal Remoto",11-50 funcionários,6 candidatos,Anunciada há 1 dia,0,0,0,0,0,0,0,0,0,1,https://www.linkedin.com/jobs/view/2376149096/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=QjvvH%2FB2pH2S9INd1AhB3g%3D%3D&trackingId=HGq8AFDrz%2BItbOQRwfj%2F7A%3D%3D&trk=flagship3_search_srp_jobs,anunciada por erica rodrigues 2° we're hiring! devops engineer [lisbon] | pm me  envie inmail about prodsmart prodsmart is a company developing the best software to manage and monitor manufacturing and shop-floor operations  we help factories work better  and better work means less stress  reduced waste  and increased profits! we are part of the 500 startups accelerator  we are based in lisbon and san francisco  we have customers across 10 different countries  and we have a very big ambition to keep growing for the years to come  we are currently looking for java and frontend developers to join our team and be part of that ambition   about the role we’re looking for a full-stack developer  with solid computer science knowledge and strong web development background  passionate about programming  ux ui and performance  our tech stack core is playframework and our services are supported by git  docker  jenkins  aws and google cloud platform  we need your help to continue to build our mission critical app to our current and future customers   tasks these are the kind of tasks we expect from you: * develop customer facing features  frontend and backend * collaborate in shaping our architecture for optimum scalability * improve overall performance of the application * integrate new technologies and tools * perform qa and unit testing nível de experiência não aplicável setor tecnologia da informação e serviços tipo de emprego tempo integral
18,Full-Stack Web Developer,Johnson Controls,"São João da Madeira, Aveiro, Portugal",+ de 10.001 funcionários,3 candidatos,Anunciada há 1 dia,1,0,0,0,0,0,1,1,0,1,https://www.linkedin.com/jobs/view/2397937028/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=QjvvH%2FB2pH2S9INd1AhB3g%3D%3D&trackingId=rx3EAF7X6CGBPoiGIDNr3w%3D%3D&trk=flagship3_search_srp_jobs,what you will do  every day  we focus on our common goal of creating and implementing innovative solutions for retailers  and we do this by working together and applying deep technical expertise to help our customers solve pressing challenges  with a collective passion to make an impact  together with your cross functional development team  you will be a part of the design and development of continuously integrated and innovative and custom-made inventory management system used by one of the biggest retailers around the world in over 1000 stores  built using emerging technologies like rfid we give retailers the visibility they need to take their business to the next level  we focus on solving today’s challenges while constantly asking ‘what’s next?’ so  what’s next in your future?  how you will do it  contribute to design and development of new cross-browser web applications   contribute to the technical design and implementation of a cross-browser  chrome  internet explorer  firefox etc   solutions following the industries trends and best practices  contribute to restful api definition and technical design and development of microservices with low-latency  high-availability  performance and scalability in mind guarantee services continuous deployment ability through a continuous integration workflow be ready to learn and adapt to new technologies in a fast-paced cloud environment  experiência e competências desejadas   what we look for  full-stack web developer  front-end  back-end  academic degree in it or similar area  3 years of working experience  minimum of b2 level english front-end background in javascript development  preferably with spa experience  experience in designing building any responsive layout  knowledge in angular   angular  react or vue is valued  angular preferred   typescript know-how will be valued  familiarity with module loaders like gulp is a plus  experience with d3 is valued  back-end experience as a java developer  preferred spring framework experience  strong understanding of rest api design relational database knowledge required experience with rest apis    our benefits we provide meaningful opportunities to learn from the best in the industry and work on innovative solutions  besides a very pleasant and international work environment johnson controls offers foods & drinks  massages  transport  health and life insurance  events and leisure spaces  you will be based on of our modern offices in são joão da madeira or braga with daily transport from vila nova da gaia and aveiro    surroundings  bringing you to the são joão da madeira office in the blink of an eye!   nível de experiência pleno-sênior setor tecnologia da informação e serviços software varejo tipo de emprego tempo integral funções de trabalho tecnologia da informação engenharia
