,Job position,Company,Location,Dimension,Candidates,Post time,JavaScript,Python,C#,Ruby,.Net,SQL,Angular.js,React.js,Node.js,Java,Links,Body
0,Senior Software Engineer,Digitech Resourcing,"Porto, Portugal Remoto",Check link,39 candidatos,Anunciada há 2 semanas,1,0,0,0,0,0,0,1,1,0,https://www.linkedin.com/jobs/view/2355620346/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=9V5u6IQ0UpTSH8D9c3Pj1A%3D%3D&trackingId=t9d6w4oq7EvXbGV%2FO82Ceg%3D%3D&trk=flagship3_search_srp_jobs,anunciada por dan o'brien lead tech recruiter- javascript specialist at digitech resourcing envie inmail are you a senior software engineer skilled in node react? are you a senior software engineer looking for a new and exciting challenge? perhaps you are an engineer with an interest in working on greenfield projects? then look no further as i am currently partnered with one of the most exciting  innovative start-ups in europe who are scaling their javascript team!  you will be developing cutting-edge software solutions whilst utilising your skills in node  react  javascript and you'll ideally have some devops skills to go with  this position is tailored for an engineer who is more comfortable on the backend with stronger node  skills  but you will also be exposed to react    senior software engineer responsibilities:  build node   backend and react   and react native web and mobile applications  integrated using  on rest api's develop cutting-edge software solutions for startup and corporate clients work alongside other developers in the team to create secure  performant  resilient business applications peer code review  senior software engineer requirements: full-stack development javascript node   react   ·       if this sounds like something you're interested in and your confident in your node  skills then please apply now! the role is paying €45 000 - €50 000  nível de experiência pleno-sênior setor recrutamento e seleção tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
2,Full Stack Developer,Smart Consulting,"Coimbra, Coimbra, Portugal",Check link,1 candidato,Anunciada há 3 dias,1,0,0,0,0,0,1,1,1,0,https://www.linkedin.com/jobs/view/2394663175/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=9V5u6IQ0UpTSH8D9c3Pj1A%3D%3D&trackingId=bXjPT3unrBa5KUIEiwLF0w%3D%3D&trk=flagship3_search_srp_jobs,o mundo pode estar cheio de oportunidades  para tornares reais os teus objetivos de carreira nas áreas de it e de telecomunicações  existe apenas uma: smart ! se és apaixonado por tecnologia  queres superar os mais complexos desafios e acrescentar valor em projetos altamente inovadores  do que é que estás à espera? smart consulting  the smart way to do it   o que é preciso para seres um smart fullstack developer? formação superior em engenharia informática ou similar  experiência em desenvolvimento com javascript  html e css  conhecimentos frameworks  react  vue ou angular   conhecimentos de node    bons conhecimentos de inglês  falado e escrito   porquê ser smart? tornamos reais os projetos em que participamos amamos o que fazemos  e temos orgulho no resultado do nosso trabalho somos simples e eficientes valorizamos as nossas pessoas somos uma equipa dinâmica  íntegra e de confiança onde podes ser smart? porto  aveiro ou coimbra  tens um perfil smart? envia o teu curriculum vitae para   com a referência fsd_pac nível de experiência assistente setor tecnologia da informação e serviços software internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
4,C# .Net Developer Full Stack (.net core / WPF),Ryanair - Europe's Favourite Airline,"Porto, Porto, Portugal",Check link,31 candidatos,Anunciada há 3 meses,0,0,1,0,1,1,0,0,0,0,https://www.linkedin.com/jobs/view/2297754192/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=9V5u6IQ0UpTSH8D9c3Pj1A%3D%3D&trackingId=uSjpeTdQGlxIvPI5e0oDmA%3D%3D&trk=flagship3_search_srp_jobs,ryanair holdings plc  europe’s largest airline group  is the parent company of buzz  lauda  malta air & ryanair dac   carrying 154m guests p a  on more than 2 400 daily flights from 82 bases  the group connects over 200 destinations in 40 countries on a fleet of over 470 aircraft  with a further 210 boeing 737s on order  which will enable the ryanair group to lower fares and grow traffic to 200m p a  by fy25   ryanair has a team of over 19 000 highly skilled aviation professionals delivering europe’s no 1 on-time performance  and an industry leading 34-year safety record   ryanair is europe’s greenest cleanest airline group and customers switching to fly ryanair can reduce their co₂ emissions by up to 50% compared to the other big 4 eu major airlines   the department  ryanair labs is the technology brand of ryanair  a tech startup within an airline  lisbon is the latest location added to our digital portfolio  with offices based in dublin  madrid  and wroclaw  lisbon will be our first location with 100% work from home policy   with big plans to digitally revolutionise the travel industry  ryanair labs has embarked on its mission to become the amazon of travel with an encompassing trip's platform   ryanair labs is dedicated to hiring top it talent  where software developers can have the freedom to work on game changing projects that will have an impact on our business and on more than 150m people a year   the role  we are currently recruiting for an exciting new green field windows desktop application  wpf  with micro services on the backend   net core  which is a large enterprise application  we are expanding a team of highly experienced  cross-functional developers with significant agile experience and experience of tdd   the application is being developed using the latest lean-agile techniques with ci cd and developers may work in the frontend  backend or both   based out of lisbon porto  this position will be 100% working from home for any location in portugal   all cvs must be submitted through english   your mission with us develop high quality  well-factored code write integration unit tests collaborate with disparate user groups   development teams to understand   gather requirements  requirements  here's what we'd like to see c#  net proficient - at least 5 years’ experience test driven development concepts knowledge knowledge on sql relational databases knowledge on nhibernate or entityframework agile mindset bs ms degree in computer science  engineering knowledge on our tech stack  nice to have  net core  docker  aws  wpf  nservicebus nível de experiência assistente setor recrutamento e seleção recursos humanos linhas aéreas aviação tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
6,Full Stack Developer,KWAN,"Braga, Braga, Portugal",Check link,0 candidatos,Anunciada há 2 semanas,1,0,0,0,0,0,1,1,1,0,https://www.linkedin.com/jobs/view/2382374557/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=9V5u6IQ0UpTSH8D9c3Pj1A%3D%3D&trackingId=t7Ljqbkqjcf5ZyLJ71SusA%3D%3D&trk=flagship3_search_srp_jobs,we are currently looking forward to hire a smart and enthusiasticfull stack developer  as part of rupeal group  kwan is an it staffing company which specialises in the art of professional fulfilment  making sure that anyone who works with us  from clients  to candidates  to consultants  is in the right path for achieving their motivations!  experience and skills needed to do that thing you love: experience with javascript associated frameworks such as angular 2   node    react and redux  experience with typescript  sequelize and express    experience with kubernetes docker  familiarity with git  maven or jenkins  5 years of experience  valid eu work permit  fluent in english   what are the benfits? loads of work  transparency free tech events  health insurance  summer sessions party  what happens in summer sessions  stays in summer sessions   why else? amazing culture  free coffee and unlimited holidays  apply in the link  poderá encontrar o anúncios original publicado em: https:  www itjobs pt oferta 368332 full-stack-developer nível de experiência assistente setor tecnologia da informação e serviços software recrutamento e seleção tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
8,Java Full Stack Developer,Link Consulting,"Porto, Porto, Portugal",Check link,6 candidatos,Anunciada há 1 semana,0,0,0,0,0,0,0,0,0,1,https://www.linkedin.com/jobs/view/2383616245/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=9V5u6IQ0UpTSH8D9c3Pj1A%3D%3D&trackingId=ofmsNWaY5Q2YdMNG0xKNNw%3D%3D&trk=flagship3_search_srp_jobs,at link consulting  permanent   contractor   in porto  portugal salary: €7 000 - €7 100 expires at: 2021-03-11  are you a technology enthusiast  searching for new challenges  a new career path  where you can expand your core base of expertise? if so…this challenge is for you!  link consulting is a portuguese it services company  located in lisbon and porto portugal  which  among others  as the mission to support costumers facing business challenges  by developing and supporting java solutions   you will be part of a team of specialists accountable for developing and providing java solutions  main requirements    we are looking for degree in computer engineering or similar  good knowledge base and interest in java  motivation for new challenges and good learning skills  teamwork spirit  nível de experiência assistente setor tecnologia da informação e serviços software consultoria de gerenciamento tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
10,Full Stack Developer,Tecmic,"Leiria, Leiria, Portugal",Check link,0 candidatos,Anunciada há 1 semana,0,0,1,0,1,1,0,0,0,0,https://www.linkedin.com/jobs/view/2394044721/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=9V5u6IQ0UpTSH8D9c3Pj1A%3D%3D&trackingId=Xt09FaFsmDbLqqTV0Dyj0Q%3D%3D&trk=flagship3_search_srp_jobs,full stack developer m f   descrição geral  a tecmic é uma multinacional portuguesa com mais de 30 anos de experiência que fornece soluções tecnológicas inovadoras de comando  de controlo e de gestão de equipas  operações  meios e ocorrências  estas soluções incluem uma visão global da localização e monitorização dos veículos em tempo real  aumentando assim a segurança e a qualidade do serviço prestado aos nossos clientes  procuramos um colaborador para integrar a nossa equipa de desenvolvimento de software web   perfil requerido   competências técnicas microsoft  net  c#  asp net mvc  entity framework  nhibernate  web services  restfull  soap  wcf  sql & sgbd microsoft sql server testes unitários e integração valorizam-se conhecimentos e ou formação em android e ou ios html     css e c# ambiente microsoft  net o candidato deve gostar de trabalhar em equipa gostar de aprender e evoluir ser orientado a resultados ser proactivo e criativo oferece-se condições remuneratórias compatíveis com o cargo e experiência integração em equipa dinâmica entrada imediata resposta para  poderá encontrar o anúncios original publicado em: https:  www itjobs pt oferta 370779 full-stack-developer nível de experiência assistente setor manufatura de eletroeletrônicos tecnologia da informação e serviços indústria automotiva tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
12,PHP Developer Full Stack,SmartDigit,"Lisboa, Lisboa, Portugal",Check link,0 candidatos,Anunciada há 1 semana,1,0,0,0,0,1,1,0,1,0,https://www.linkedin.com/jobs/view/2399419369/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=9V5u6IQ0UpTSH8D9c3Pj1A%3D%3D&trackingId=RTLSlFxn2N9h7i1r1%2Frdtg%3D%3D&trk=flagship3_search_srp_jobs,a smartdigit é uma empresa de desenvolvimento de software empresarial que procura um profissional para desempenhar funções de php developer para integrar num projeto de uma aplicação saas multiplataforma para diversos clientes em todo o mundo   responsabilidades desenvolvimento de novos serviços e melhorias das funcionalidades existentes  pesquisa e implementação de novas tecnologias e ferramentas no ambito do projeto  colaboração e envolvimento numa pequena equipa de desenvolvimento   qualificações  um pouco sobre ti 3 ou mais anos de experiencia em desenvolvimento web  experiência comprovada com javascript  es6   php frameworks  preferencialmente laravel   scss css  docker  sql  espírito de iniciativa e atenção aos detalhes  criativo a   inovador a  e com espírito de equipa  aprendiz rápido  novas linguagens   tecnologias  e disposto a melhorar a si mesmo  apaixonado por desenvolvimento de software  boa capacidade de comunicação  organização  facilidade de relacionamento interpessoal   damos valor aos conhecimentos metodologias agile  cloud services  aws  azure  etc   experiencia jira  bitbucket e cd ci  module builder  webpack  grunt   express  socket io  mongo  oauth  angular  node    oferecemos remuneração de acordo com a experiência demonstrada  tipo de contrato: sem termo  enquadramento numa empresa baseada nas relações  na inovação  na simplicidade e eficiência  excelente ambiente de trabalho criativo e colaborativo  oportunidade de integrar uma empresa jovem e ambiente internacional  seguro de saúde  formação inicial e contínua  flexibilidade no horário de trabalho e trabalho remoto   envie a sua candidatura por email para: click apply local de trabalho: linda-a-velha nota: apenas iremos considerar as candidaturas de cidadãos da união europeia ou com autorização de residência em portugal para exercício de atividade profissional subordinada   api:2a02:c207:2011:6863::1:39d709ee33eeea0d83c8d79b54067c81:2021-01-27 20:33:26 nível de experiência assistente setor tecnologia da informação e serviços software internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
14,Senior Software Engineer - Portugal,Buildium,"Porto, Porto, Portugal",Check link,4 candidatos,Anunciada há 3 meses,1,0,1,0,1,1,1,1,0,0,https://www.linkedin.com/jobs/view/2256058385/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=9V5u6IQ0UpTSH8D9c3Pj1A%3D%3D&trackingId=ulk2JcNA%2Bex0bendN9xAvw%3D%3D&trk=flagship3_search_srp_jobs,buildium is looking for smart  driven  enthusiastic software engineers to join our team in porto  portugal  our core product is an all-in-one property management platform designed for real estate professionals to take control of their business by streamlining their accounting  maintenance  communication  and leasing processes in the cloud   as a senior software engineer  you'll be part of a cross-functional product team delivering new features to our client base of over 18 000 property managers and housing associations  this is a great chance to be part of a growing organization that is dedicated to engineering best practices and processes as well as continually providing opportunities for professional growth   responsibilities work in two-week sprints building new features and enhancing existing features of the buildium platform using technologies like c#  asp net web api  angular  and mysql  full stack design and development with a focus on maintainability  usability  scalability and performance  be a positive influence on the team through technical reviews  collaborating with other developers on the team  and ensuring adherence to coding and testing standards  work closely with product managers to understand the future business direction with the goal of architecting the platform optimally  work closely with technical leads and other stakeholders to develop project plans and participate in resource planning  contribute ideas and work on solutions to evolve our ci cd processes and tools  maintain a high awareness of industry issues and trends  particularly in regard to web technologies   net  microservices  cloud computing  aws   and automated unit testing  participate in our engineering guilds  focus groups  and tech talks to contribute to the research and implementation of new technologies  tools  and architectural patterns    qualifications fluency in english with strong written and oral communication skills 5  years of experience in developing customer facing software self-motivated and willing to work through problems without obvious answers hands-on experience with c#   net 4 5  net core  asp net mvc web api and javascript frameworks like angular  react  and or vue hands-on experience working with creating and consuming rest web services and apis experience working with writing sql queries and designing databases  mysql is a plus  understanding of source code management tools such as git  and the workflows associated with them  branching and merging  excellent presentation and facilitation skills experience with aws docker or similar cloud platforms also a plus   what we offer competitive salary opportunity to work in a small  innovative startup environment health insurance free weekly team lunches  fresh fruit  coffee and drinks professional development opportunities diverse distributed team in the us and india  working at buildium is unlike any other gig you've ever had  with offices in the us  portugal and india  you will be interacting daily with colleagues distributed all around the world  we’re casual  open  innovative and collaborative  as a company that empowers their employees to do the right thing  you will find that buildium’s drive to be the best is contagious   buildium is an equal employment opportunity employer and considers qualified applicants without regard to gender  sexual orientation  gender identity  religion  race  veteran or disability status  we celebrate diversity and are committed to building an inclusive work environment where all employees feel a sense of belonging while bringing their authentic self to the table and being valued for it  nível de experiência júnior setor tecnologia da informação e serviços software internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
16,Full Stack Web Developer,Damia Group Portugal,"Lisboa, Lisboa, Portugal",Check link,4 candidatos,Anunciada há 3 meses,1,0,0,0,0,0,1,1,0,0,https://www.linkedin.com/jobs/view/2294637899/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=9V5u6IQ0UpTSH8D9c3Pj1A%3D%3D&trackingId=dVWlmMawqO8RUDE6UTEgtQ%3D%3D&trk=flagship3_search_srp_jobs,hijiffy is looking for a full stack developer who will take a key role in the team   about hijiffy: hijiffy is an innovative solution that centralizes  automates and measures all customer care activities for travel companies by integrating cutting-edge technology in a simple  reliable and robust platform  we were considered as the most innovative solution in 2020 by unwto   they are based in lisbon  count with clients such as marriott  accor or frasers hospitality and have as advisor sébastien lefebvre  former director of growth for twitter    about the role: the full stack developer must have knowledge in all stages of software development you’ll be working alongside other engineers and developers  collaborating on the various layers of the infrastructure for our platform   responsibilities unafraid to venture into uncharted territory and come away with mastery of it  excellent communication skills  strong technical aptitude with an intense desire to learn new skills and industry trends  design overall architecture of the web application  maintain quality and ensure responsiveness of our different applications  collaborate with the rest of the engineering team to design and launch new features  maintain code integrity and organization  experience converting designs to visual elements    main requirements understanding and implementation of security and data protection  experienced with back-end programming languages such as php and javascript  proficient experience using javascript libraries and frameworks such as vue    angular   or react   ability to work with mysql and mongodb databases  some experience with cloud computing services such as aws and google cloud services  knowledge of code versioning tools such as git    what they offer a startup environment where you can see how to grow a company from dozen to hundreds of people and where you will have the space to grow  flexible working hours  possibility of working remotely with previous approval  salary   bonus    want to know more? get in touch with us 👇 experiência e competências desejadas mysql  git  english  aws nível de experiência pleno-sênior setor software tecnologia da informação e serviços tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação outro
18,Senior Software Engineer,Bitwala,"Porto, Porto, Portugal",Check link,1 candidato,Anunciada há 1 semana,1,0,0,0,0,0,0,1,1,0,https://www.linkedin.com/jobs/view/2365561733/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=9V5u6IQ0UpTSH8D9c3Pj1A%3D%3D&trackingId=%2BMQCpMSABfxN338NOtJucw%3D%3D&trk=flagship3_search_srp_jobs,bitwala offers the world’s first all-in-one platform combining a regular bank account  crypto wallets  and seamless bitcoin & ethereum trading options  our customers can easily buy and sell bitcoin & ether - whether online or mobile - with fast liquidity directly from their bank account   tasks we're looking for a senior software engineer to join our engineering chapter! in this position  you will work as part of a squad team within the bitwala engineering chapter  your core responsibilities will include working within your squad to write and deliver new features  maintaining and enhancing existing products  debugging and resolving issues  writing automated tests  and providing technical guidance and support   in addition  you'll also be responsible for coaching  mentoring and onboarding new developers as well as interviewing and reviewing coding challenges for potential candidates   you'll be working on: development of new features enhancement of existing features maintenance and improvement of existing code investigating  debugging and resolving bugs and issues writing automated tests carrying out manual testing completing technical designs  in addition  you'll be increasing your understanding of the bitwalacodebase and development standards processes so that you can: carry out development tasks across more of bitwala’s product stack recommend and implement improvements to our codebase and development practices provide technical support and guidance to other developers   lastly  you'll also get hands-on experience growing other great engineers in your team  by: coaching and mentoring existing and new engineers in our codebase and our development practices  this also includes peer programming with other engineers to help them develop their knowledge and skills in our stack and development processes onboarding our new engineers by providing assistance and helping them with their technical onboarding plan  reviewing coding challenges for potential engineers and providing documented feedback carrying out technical interviews with potential engineers and providing documented feedback creating and reviewing technical designs for development work with support from technical leads    requirements you have gained at least 3-5 years of experience as a full-stack software engineer advanced knowledge in javascript  typescript  node    and react hands-on mentality: people know you as a proactive problem-solver  who is not afraid to take ownership and accountability you are fluent in english and are known for your team collaboration skills you interested in crypto and blockchain  and want to join our mission to become the world's first leading crypto bank  experience in crypto and or blockchain is not a requirement   benefits to work on a meaningful  and innovative crypto-banking products to add real value to our customers lives a competitive salary  and 30 holidays including december 24th and 31st working with the latest technology  check our stack here  along with an agile environment to work as efficiently as possible having the great opportunity to work with passionate  knowledgeable  and experienced people where your opinion is highly valued keep up-to-date with weekly company meetings  regular tgif’s to get to know your co-workers  and unforgettable company trips a truly inclusive and diverse company culture nível de experiência pleno-sênior setor bancos tipo de emprego tempo integral funções de trabalho tecnologia da informação
