,Job position,Company,Location,Dimension,Candidates,Post time,JavaScript,Python,C#,Ruby,.Net,SQL,Angular.js,React.js,Node.js,Java,Links,Body
0,Senior Software Engineer (Remote),Equal Experts,Portugal Remoto,501-1.000 funcionários,148 candidatos,Anunciada há 1 semana,0,1,1,1,0,0,0,1,1,1,https://www.linkedin.com/jobs/view/2213010424/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=lQakYlz2KLe46ZOME9VtCQ%3D%3D&trackingId=MihpQtAbb6i%2B%2FIXakH3m%2Bw%3D%3D&trk=flagship3_search_srp_jobs,what will you do? when on a project with us  you’ll integrate an agile environment  and be responsible for developing end-to-end solutions with our clients  you’re expected to contribute not only with your technical skills but also to share knowledge within the team  you will be involved in different types of projects  one at a time   working on a full-stack perspective  doing front-end and or back-end according to the needs   this is a fully remote position  so you can work wherever you feel empowered to do your best work  as long as you are able to do it in a similar time zone  gmt   - 2 hours   as this is a permanent position  you have to be based in portugal or spain in order to employed by us  depending on the needs of the project  you might be asked to attend some onsite client meetings or workshops  so you need to be able to travel abroad  all expenses will be covered   we also get together from time to time and you will also be invited for all social ee events    why us? great work-life balance - we trust people to responsibly manage their schedule  working at times that suit their personal needs and the team a truly remote-first culture no line-management  with a lot of autonomy and empowerment work with like-minded senior practitioners  allowing you to grow  learn and share  diversity of projects with different challenges and tech stacks strong maturity in agile delivery  about you solid technical background  with extensive experience in a similar role and in one or more languages of choice  practical experience and enthusiastic about agile practices solid experience working with functional or object-oriented programming willingness to learn new technologies and move between different tech stacks experience with unit testing frameworks and willingness to work in a test automation environment capable of conveying ideas and break down concepts clearly to a diverse range of stakeholders  verbally and written  adaptable  comfortable switching contexts and dealing with ambiguity low-ego  empathetic  with a “grown-up” attitude fluent in english  written and spoken available to travel for periods of 1-2 weeks   nice to have experience working with distributed teams experience in client-facing roles experience with pair programming  tdd  ci cd familiarity with cloud-based technologies and with a devops operability mindset  about us equal experts is an award-winning it professional services consultancy  with over 700 people working in the uk  us  canada  portugal  germany  south africa  india and australia   we believe happy teams make better software  and we take as much pride in our people  culture and work-life balance as we do in our output  collaborative  entrepreneurial and dedicated to problem-solving  we help our clients improve their end-to-end capability   we are fully remote in portugal  we are passionate that all team members are empowered to succeed and deliver value no matter where they are located   we are tech agnostic and we will use the best technology to solve the client’s problem  here are some examples of what we’ve used in the past: node    java  typescript  react    scala  clojure  ruby  kotlin  python  c#  vue    aws  azure  docker  ansible  puppet  chef  kubernetes  among others   our core principles  hands-on delivery of work that adds real value continuous delivery  automated whenever possible constant learning and self-improvement responsible innovation  results come first genuine collaboration  a low-ego working environment  you can expect an attractive salary  benchmarked every year   check how it looks like to work with us as a software engineer and what people say on glassdoor! nível de experiência pleno-sênior setor tecnologia da informação e serviços software internet tipo de emprego tempo integral funções de trabalho tecnologia da informação engenharia consultoria
2,Anúncio de emprego: Java Fullstack Developer (M/F) - Ourém,TalentSeed,"Santarém, Santarém, Portugal",11-50 funcionários,0 candidatos,Data do anúncio,0,0,0,0,0,1,0,0,0,1,https://www.linkedin.com/jobs/view/2399599425/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=lQakYlz2KLe46ZOME9VtCQ%3D%3D&trackingId=fuxBBOK%2BQCHW98jd3uWuIA%3D%3D&trk=flagship3_search_srp_jobs,"anúncio de emprego: java fullstack developer  m f  - ourém:talentseed  descrição do emprego  java fullstack developer  m f  - ourém » talentseed  » ref: 7216658  » 27-1-2021  » santarem  » informática   programação    detalhe da oferta  ont-family:""times new roman"" serif"">  estamos neste momento arecrutar para lisboa  java fullstack developer m f  - ourã©m  desafio  o nosso cliente ã© uma empresa internacional  que sededica ao desenvolvimento e integraã ã£o de sistemas e plataformas  para alã©mdisso  dedicam-se ã ediã ã£o e criaã ã£o de soluã ãµes colaborativas na ã¡rea delogã­stica e transporte   atualmente encontram-se a reforã ar a sua equipa emportugal  com a contrataã ã£o de um java fullstack developer   referência da oferta  ocandidato ideal deverã¡ ter formaã ã£o em engenharia informã¡tica  ou similar  epelo menos 2 anos de experiãªncia profissional com recurso a java  hibernate ebase de dados sql server  serã£o  ainda  valorizados conhecimentos de vaadin maven  spring  jquery e css   devidoã sua presenã a internacional  a fluãªncia na lã­ngua francesa serã¡ obrigatã³ria   candidate-se através do link: br  > nível de experiência assistente setor tecnologia da informação e serviços recrutamento e seleção recursos humanos tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação"
4,Senior Web Developer (Angular),BNP Paribas,"Lisboa, Lisboa, Portugal",+ de 10.001 funcionários,4 candidatos,Anunciada há 3 meses,1,0,1,0,0,0,1,0,0,1,https://www.linkedin.com/jobs/view/2279779498/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=lQakYlz2KLe46ZOME9VtCQ%3D%3D&trackingId=MOBVAMQjeYQ38Jd29nCV1g%3D%3D&trk=flagship3_search_srp_jobs,bnp paribas is a leader in the eurozone  and a prominent international banking institution with strong roots in europe's banking history  it has a presence in 71 countries  with 200 000 employees - including more than 150 000 in europe and 6 000 in portugal alone  bnp paribas is present in portugal since 1985  having been one of the first foreign banks to operate in the country  today  the group has several entities operating directly in this territory  offering a wide range of integrated financial solutions to support its clients and their businesses  thanks to its international presence and regular and close collaboration among its businesses  bnp paribas has the resources to support all clients -- individuals  entrepreneurs  smes  large corporates  institutional investors and community organisations -- with financing  investment  savings and protection solutions that help make their projects a success  bnp paribas holds key positions in its three core operating divisions: domestic markets and international financial services for retail banking and specialised financial services  and corporate & institutional banking for corporate and institutional clients  the mission of risk is to provide senior management of the group and of the operating divisions  with full transparency and dynamic analysis of the risk and clients managed by corporate and investment banking  cib  and investment solutions  is  business units  as per the scope detailed below   the scope of risk is on market and liquidity risks: it is group-wide  risk comprehensively covers the cib capital markets activities  alm treasury as well as the is business units  on counterparty risk: it is group-wide  risk covers all counterparty risks arising from derivative and repo transactions  on credit risk: credit analysis and approval for all financial institutions  including funds and spvs   sovereigns  wealth management clients and other is private clients  on insurance risk: risks generated by insurance activities  depending on mandates given  risk also assumes  directly or indirectly  responsibilities on the above risk categories in specific areas of the retail business units  risk contributes to the definition of the group's risk appetite  its risk decision-making process and the optimization of capital allocation to support the development of the operating divisions  the risk era systems team is part of risk  its mission consists in providing the bank with a comprehensive capital markets risk system used to calculate market and counterparty risk capital figures using advanced methods and to support the needs of users for risk analysis  risk reporting and the credit process  in this context  the data governance tool  dgt  was created to monitor data quality within risk era systems  it came as an answer to bcbs 239 and has now become a key asset for risk era systems and for risk in general   role and responsibilities  we are looking for an html5 based  angular   web developer responsible for the client side of our service  your primary focus will be to implement a complete user interface for a web application  with a focus on usability  flexible configuration and performance  your main duties will include creating modules and components and coupling them together into a functional application for risk business users  you will have responsibility for the artistic design  html templates  animations  css  and final html output  you will work in a team with other front and back-end developers  and communicate with the rest api using standard methods  the successful candidate will be expected to fulfil the role of a data governance tool web developer as follows: be part of a growing team that is at the heart of our investment in regulatory and business driven change rapidly prototyping solutions to quickly prove disprove new concepts delivering a complete front end application ensuring high performance in a multi-browser environment writing testable  idiomatic  and documented javascript  html and css working across the full client stack  including ui design  html layout  and javascript coding cooperating with the back-end developers in the process of building the restful api communicating with web services  profile master's degree in computer science  finance or related field data or risk related business analysis experience is preferred experience of market and or counterparty risk exposure to the practical issues of data loading  validation and management proficiency with javascript  css and html5 deep knowledge of modern javascript frameworks  such as angular   and commonly used javascript tooling and modules based on extensive work experience creating self-contained  reusable  and testable modules and components extensive knowledge of css and   methods for providing performant visual effects thorough understanding of multi-tier platforms  including database  api  caching layer  proxies  and other web services writing asynchronous code  and an understanding of parallel server architectures basic understanding of back-end technologies  such as java  preferred  or c# strong analytical skills with a creative and flexible approach to problem solving good knowledge of english  please note that only applications submitted in english will be considered  in case you are selected for this role  further documentation will be requested to support your hiring process  bnp paribas is an equal opportunity employer and proud to provide equal employment opportunity to all job seekers  we are actively committed to ensuring that no individual is discriminated against on the grounds of age  disability  gender reassignment  marriage or civil partnership status  pregnancy and maternity  race  religion or belief  sex or sexual orientation  equity and diversity are at the core of our recruitment policy because we believe that they foster creativity and efficiency which in turn increase performance and productivity  we strive to reflect the society we live in  while keeping with the image of our clients  nível de experiência júnior setor tecnologia da informação e serviços recursos humanos serviços financeiros tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
6,QA Engineer,Ytech,"Porto, Portugal",11-50 funcionários,49 candidatos,Anunciada há 3 semanas,0,0,0,0,0,0,0,0,0,0,https://www.linkedin.com/jobs/view/2349035247/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=lQakYlz2KLe46ZOME9VtCQ%3D%3D&trackingId=gYqhXDt4Qgqxi2AC7qSxmw%3D%3D&trk=flagship3_search_srp_jobs,anunciada por maria carolina seixas 2° sourcing & recruitment consultant at ytech envie inmail hi human tech machine   ytech  the coolest it startup ever  is hiring  you? !  if you like animals  scooters  gummies  coffee and tech  or none of these really :p  come join our team   we’d be super happy to have an expert qa engineer joining us  with the below essentials skills and expertise:  postman  soapui  aws  device farm core  3  years experience of experience as a full-stack developer advanced knowledge in web and mobile automation testing frameworks and practices you interested in crypto and blockchain  so  if you are a qa engineer even with your eyes closed  omg  you’re awesome  and we would love to have you on our team!  we’re looking for an eloquent techy  meaning a marvelous speaker and writer - top skills of communication  you know?     if you’re up to working in tight deadlines  you’re our person!  for english speaking techies only  but if you’re from mars and speak martian  that’s fine too   we are looking for a techy to start asap so… ready? set… go!  ps:  we promise we’re cool :   nível de experiência pleno-sênior setor tecnologia da informação e serviços tipo de emprego contrato funções de trabalho engenharia tecnologia da informação
8,.Net Developer,Apside,"Aveiro, Portugal",1.001-5.000 funcionários,23 candidatos,Anunciada há 1 semana,0,0,1,0,0,1,1,1,0,0,https://www.linkedin.com/jobs/view/2365543180/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=lQakYlz2KLe46ZOME9VtCQ%3D%3D&trackingId=lVuhQwsZ44gktD4iIdMa%2Fw%3D%3D&trk=flagship3_search_srp_jobs,4 main values which guide us daily commitment at every step transparency for effective communication conscientious and locally accessible partners sharing the apside spirit  key responsibilities: develop and maintain new and existent applications develop with clean code principles in mind work within multidisciplinary and multi geographically distributed teams work in international projects availability to travel sporadically   main skills: bs   associate degree in computer science or similar minimum of 3 4 years of experience using  net   net core  c# or asp net  vue    react and skills valued in angular  frontend full stack  knowledge about xaml  wpf and mvvm good knowledge of sql  mysql  sql server or other relational db  knowledge of soa rest architecture micro services architecture  azure or cloud experience is valued scrum experience or in other agile methodology git versioning experience fluent spoken and written english  written and spoken french is a plus team player   our job offer: negotiable salary good working environment young and dynamic team challenges and opportunities to grow personally career management work with international projects opportunities to travel nível de experiência pleno-sênior setor tecnologia da informação e serviços tipo de emprego contrato funções de trabalho outro
10,Full Stack Developer,Check link,"Lisboa, Lisboa, Portugal",Check link,1 candidato,Anunciada há 1 semana,1,0,0,0,0,0,0,0,0,0,https://www.linkedin.com/jobs/view/2383625060/?eBP=JOB_SEARCH_ORGANIC&refId=lQakYlz2KLe46ZOME9VtCQ%3D%3D&trackingId=IaI0Q12EziOJbjlg7G2miA%3D%3D&trk=flagship3_search_srp_jobs,who we are portuguese startup that aims to be the marketplace to celebrate moments that matter founded in 2017  it´s fast-paced growing startup  in 2019  we´re having an average monthly growth rate of 25% what we are looking for | job description  it´s a green-field project where you can set a vision for how technology will be used in the company  apart from that you should be able to improve existing features and create new ones on back and front-end integrate with third-party rest services define timelines for the development and deployment of all technological services requirements ba bs in computer science or equivalent 3  years working in a technological role advanced technological skill set and a track record with the wordpress environment experience in e-commerce world ability to work autonomously strong knowledge of php  html  css  and javascript understanding of responsive design and its implementation  we live in a mobile-first world  good analytical and debugging skills experience working with and or designing restful apis working knowledge of internationalization and localization what we offer | benefits flexible working hours 22 days of paid vacation   public holidays working on a very challenging and fast-paced startup  with complex business logic education & seminars & software  udemy etc  seminars are paid and will be seen as work a fair salary stock options a free birthday cake nível de experiência assistente setor tecnologia da informação e serviços internet recursos humanos tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
12,Senior Web Developer (Angular),BNP Paribas CIB,"Lisboa, Lisboa, Portugal",Check link,0 candidatos,Anunciada há 1 mês,1,0,1,0,0,0,1,0,0,1,https://www.linkedin.com/jobs/view/2392146413/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=lQakYlz2KLe46ZOME9VtCQ%3D%3D&trackingId=gNyuFFoE8vJzN%2F06d3uNrQ%3D%3D&trk=flagship3_search_srp_jobs,bnp paribas is a leader in the eurozone  and a prominent international banking institution with strong roots in europe's banking history  it has a presence in 71 countries  with 200 000 employees – including more than 150 000 in europe and 6 000 in portugal alone   bnp paribas is present in portugal since 1985  having been one of the first foreign banks to operate in the country  today  the group has several entities operating directly in this territory  offering a wide range of integrated financial solutions to support its clients and their businesses   thanks to its international presence and regular and close collaboration among its businesses  bnp paribas has the resources to support all clients -- individuals  entrepreneurs  smes  large corporates  institutional investors and community organisations -- with financing  investment  savings and protection solutions that help make their projects a success  bnp paribas holds key positions in its three core operating divisions: domestic markets and international financial services for retail banking and specialised financial services  and corporate & institutional banking for corporate and institutional clients   the mission of risk is to provide senior management of the group and of the operating divisions  with full transparency and dynamic analysis of the risk and clients managed by corporate and investment banking  cib  and investment solutions  is  business units  as per the scope detailed below   the scope of risk is on market and liquidity risks: it is group-wide  risk comprehensively covers the cib capital markets activities  alm treasury as well as the is business units  on counterparty risk: it is group-wide  risk covers all counterparty risks arising from derivative and repo transactions  on credit risk: credit analysis and approval for all financial institutions  including funds and spvs   sovereigns  wealth management clients and other is private clients  on insurance risk: risks generated by insurance activities  depending on mandates given  risk also assumes  directly or indirectly  responsibilities on the above risk categories in specific areas of the retail business units   risk contributes to the definition of the group’s risk appetite  its risk decision-making process and the optimization of capital allocation to support the development of the operating divisions   the risk era systems team is part of risk  its mission consists in providing the bank with a comprehensive capital markets risk system used to calculate market and counterparty risk capital figures using advanced methods and to support the needs of users for risk analysis  risk reporting and the credit process   in this context  the data governance tool  dgt  was created to monitor data quality within risk era systems  it came as an answer to bcbs 239 and has now become a key asset for risk era systems and for risk in general   role and responsibilities  we are looking for an html5 based  angular   web developer responsible for the client side of our service  your primary focus will be to implement a complete user interface for a web application  with a focus on usability  flexible configuration and performance  your main duties will include creating modules and components and coupling them together into a functional application for risk business users   you will have responsibility for the artistic design  html templates  animations  css  and final html output  you will work in a team with other front and back-end developers  and communicate with the rest api using standard methods   the successful candidate will be expected to fulfil the role of a data governance tool web developer as follows: be part of a growing team that is at the heart of our investment in regulatory and business driven change rapidly prototyping solutions to quickly prove disprove new concepts delivering a complete front end application ensuring high performance in a multi-browser environment writing testable  idiomatic  and documented javascript  html and css working across the full client stack  including ui design  html layout  and javascript coding cooperating with the back-end developers in the process of building the restful api communicating with web services  profile master’s degree in computer science  finance or related field data or risk related business analysis experience is preferred experience of market and or counterparty risk exposure to the practical issues of data loading  validation and management proficiency with javascript  css and html5 deep knowledge of modern javascript frameworks  such as angular   and commonly used javascript tooling and modules based on extensive work experience creating self-contained  reusable  and testable modules and components extensive knowledge of css and   methods for providing performant visual effects thorough understanding of multi-tier platforms  including database  api  caching layer  proxies  and other web services writing asynchronous code  and an understanding of parallel server architectures basic understanding of back-end technologies  such as java  preferred  or c# strong analytical skills with a creative and flexible approach to problem solving good knowledge of english  please note that only applications submitted in english will be considered   in case you are selected for this role  further documentation will be requested to support your hiring process   bnp paribas is an equal opportunity employer and proud to provide equal employment opportunity to all job seekers  we are actively committed to ensuring that no individual is discriminated against on the grounds of age  disability  gender reassignment  marriage or civil partnership status  pregnancy and maternity  race  religion or belief  sex or sexual orientation  equity and diversity are at the core of our recruitment policy because we believe that they foster creativity and efficiency which in turn increase performance and productivity  we strive to reflect the society we live in  while keeping with the image of our clients   primary location  pt-11-lisbon  job type  standard   permanent  job  risks  education level  master degree or equivalent  > 4 years   experience level  at least 3 years  schedule  full-time  job number: 1908rsk3227 nível de experiência júnior setor tecnologia da informação e serviços bancos serviços financeiros tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
14,Microsoft Dynamics CRM Consultant,Capgemini,"Lisboa, Lisboa, Portugal",Check link,7 candidatos,Anunciada há 3 meses,0,0,1,0,0,0,0,0,0,0,https://www.linkedin.com/jobs/view/2295692405/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=lQakYlz2KLe46ZOME9VtCQ%3D%3D&trackingId=bAoXvEed%2FJWV7dBW%2FmGPPg%3D%3D&trk=flagship3_search_srp_jobs,we are hiring microsoft dynamics crm developer!  at capgemini portugal  you will work with some of the industries leading experts  with cutting edge technologies  and a supportive community  you’ll be challenged daily and given strong responsibility from day one   if you have at least 2 years of experience working with microsoft dynamics crm  this opportunity is for you!  we are looking for unrivalled passion for everything microsoft dynamics focused  expertise in ms dynamics 365  crm   more than just an interest in ms dynamics 365 online and office 365  bottoms up understanding of crm – c# development through to architecture design  full life cycle experience on a microsoft dynamics projects  knowledge of microsoft dynamics crm sdk  visual studio and team foundation server  have experience in the broader msft stack  azure  sharepoint  biztalk  and worked to an agile methodology   what are we offering? the chance to work on interesting challenging projects for national and international clients  the opportunity to work in great  dynamic teams  health and life insurance  the possibility of investing on certifications and training  a permanent contract with an attractive compensation package and benefits  nível de experiência júnior setor tecnologia da informação e serviços software recrutamento e seleção tipo de emprego tempo integral funções de trabalho tecnologia da informação
16,Full Stack Developer,Olisipo,"Lisboa, Lisboa, Portugal",Check link,0 candidatos,Anunciada há 1 dia,1,0,0,0,0,1,1,0,0,1,https://www.linkedin.com/jobs/view/2398973570/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=lQakYlz2KLe46ZOME9VtCQ%3D%3D&trackingId=GtfjN3CIE%2F%2BzPR0MVGt4%2FA%3D%3D&trk=flagship3_search_srp_jobs,full stack developer:olisipo descrição do emprego: full stack developer id:  8950976  data   09-10-2020  empregador   olisipo  país da emprego   portugal  distrito   lisboa  categoria s    informática e tecnologias descrição da empresa a olisipo é uma das principais e mais sólidas referências nacionais como talent recruiter  talent builder e talent care na área das tecnologias de informação   a nossa missão é encontrar o melhor projeto para cada pessoa e  para cada empresa  o melhor talento na área das tecnologias de informação   #connectingitpeople  descrição do anúncio  accredited as ?best talent managers? for seven years in a row  at olisipo we excel for our transparent relationship with all our collaborators  assigning them the most thrilling projects  investing on their training and guiding them attentively  our career management highlights everyone?s potential  it?s achievement and happiness   we are looking for a full stack developer  m f  to integrate a project in lisbon   profile  mandatory tech skills java ee   f  ejb's  jpa   rest and soap based web services  front-end development  javascript  html5  jquery  angular    angular 9   oracle sql and pl sql knowledge  nice to have tech skills junit   jbehave knowledge  bpm engines knowledge  camunda preferencial    f richfaces knowledge  jboss knowledge  soft skills ability to communicate in english effectively  both verbally and in writing  ability to meet project schedules with minimal supervision  team spirit  agile enthusiast  fluent in english  we offer personal accompaniment focused on career management  continuous and personalized training and certification through our own learning center  solidity  trust and growth  competitive salary package with benefits  nível de experiência assistente setor tecnologia da informação e serviços software recrutamento e seleção tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
18,Oferta De Emprego: .Net Fullstack Developer,Red IT,"Porto, Porto, Portugal",Check link,0 candidatos,Anunciada há 3 dias,0,0,1,0,0,1,1,0,0,0,https://www.linkedin.com/jobs/view/2398367801/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=lQakYlz2KLe46ZOME9VtCQ%3D%3D&trackingId=%2BrBLEk7zS5qjLSnij3SEmg%3D%3D&trk=flagship3_search_srp_jobs,distrito: porto - concelho: porto  oferta net fullstack developer » red it » ref: 7085331 » 2-11-2020 » porto » informática   programação    detalhe da oferta  esta pode ser a tua oportunidade  tu decides  keywords:  net  c#  html  css  sass  angular  typescript  sql server   net core  se tens formação base em engenharia informática ou equivalente  experiência superior a 2 anos em desenvolvimento c# net conhecimentos de  net core  experiência com html  css e sass experiência com angular e typescript conhecimentos de modelação de dados em sql server fluência em inglês  e se estás na zona norte e procuras uma oportunidade como  net fullstack developer  decide pelo melhor  a equipa ? é top  queres apostar? o acompanhamento ? follow up contínuo  estamos sempre ao teu lado  o espírito ? trabalhar e ser feliz? provamos-te que é possível! o desenvolvimento profissional ? um novo mundo à tua disposição  vem escolher por onde ir  wolfpack ? descobre o que é ser red  todos os dias!  ainda não te convencemos? vamos tirar-te todas as dúvidas  responder às tuas questões e mostrar-te que porque não há melhor equipa do que a nossa  candidata-te agora através de *** candidatura online *** e vem conhecer a red   what drives you? descobre o que nos move em nível de experiência assistente setor tecnologia da informação e serviços software internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
