,Job position,Company,Location,Dimension,Candidates,Post time,JavaScript,Python,C#,Ruby,.Net,SQL,Angular.js,React.js,Node.js,Java,Links,Body
0,FullStack Developer,Braver PC,"Aveiro, Aveiro, Portugal",1.001-5.000 funcionários,1 candidato,Anunciada há 3 dias,1,0,0,0,0,1,0,0,1,0,https://www.linkedin.com/jobs/view/2394658365/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=fc3RfA%2F4dPXiVr9wYV8lWg%3D%3D&trackingId=nWiNBkZaiB3EuJySzlBuxg%3D%3D&trk=flagship3_search_srp_jobs,s  joão da madeira  na bolder tech  a empresa tecnológica do grupo braver  com pólos em s  joão da madeira e lisboa  que desenvolve produtos e serviços próprios nomeadamente para eventos  desporto  turismo  esports e comunicação  queremos integrar na equipa  um a   fullstack developer – eventos  desporto  turismo   m f o   que pesquise  conceba  implemente e gira programas e aplicações  os teste e avalie  identifique e promova melhorias  escreva código eficiente e replicável  aplique procedimentos de controlo da qualidade  utilize eficazmente ferramentas  processos e métricas  mantenha e melhore os sistemas existentes  trabalhe em equipa com outros developers  designers ux e analistas de sistemas   são requisitos essenciais: formação superior em eng  informática ou similar  3 anos de experiência como developer com prática de desenvolvimento de soluções aplicacionais e de front end  web ou não web   domínio de html  css  php  javascript  wordpress e sql  experiência com node   ou typescript  github ou jira e metodologias agyle  fluência em inglês   valorizamos ainda: gosto pelo conhecimento e adopção rápida de novas tecnologias  capacidade analítica  atenção ao detalhe  espírito de equipa  capacidade de comunicação escrita e verbal  atitude calma  flexível e resiliente sob stress  orientação para o cliente   queremos estabelecer uma relação de longo prazo  com excelentes perspetivas de evolução numa organização profissional  cheia de energia ambição  trabalho tendencialmente remoto mas presencial em reuniões de equipa  com clientes e no apoio a eventos   agradecemos resposta com carta de motivação  acompanhada de c v  detalhado   para click apply   guarda-se sigilo   api:2a02:c207:2011:6863::1:39d709ee33eeea0d83c8d79b54067c81:2021-01-27 17:51:12 nível de experiência assistente setor marketing e publicidade tecnologia da informação e serviços internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
2,Java - Fullstack Developer,Growin,"Porto, Porto, Portugal",Check link,3 candidatos,Anunciada há 3 meses,0,0,0,0,0,1,1,1,0,1,https://www.linkedin.com/jobs/view/2278396519/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=fc3RfA%2F4dPXiVr9wYV8lWg%3D%3D&trackingId=%2BRlbfwJgtqYG69DROef7Bw%3D%3D&trk=flagship3_search_srp_jobs,we develop people who develop technology  do you imagine belonging to a place where you can grow your career and achieve a work-life balance? at growin people always come first  why? because we believe happy  talented people are the ones who can change the world: one code line at the time   we're looking for passionate  eager to grow java developers to join our team   we count on you to create and optimize web-based java apps  from version 7 on  automate processes  streamlining the development lifecycle and defined roadmap have knowledge in using the spring framework be able to use rest apis  implement and consume  interact with sql databases frontend ability: angular or react use the english language daily be a team player who isn’t shy to seek out guidance to create the most impactful apps  we’ve got your back  at growin  we encourage our people to be the best versions of themselves  and we do it together  because we believe together we grow better    here you’ll have a tailor-made career planning & management  fully adapted to your needs and goals  at growin do matter   so  what are you waiting for to join one of the best places to work in portugal? nível de experiência assistente setor tecnologia da informação e serviços software internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
4,PHP Full Stack Developer (M/F),AskBlue,"Lisboa, Lisboa, Portugal",Check link,1 candidato,Anunciada há 3 meses,0,0,0,0,0,0,1,1,0,0,https://www.linkedin.com/jobs/view/2319131996/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=fc3RfA%2F4dPXiVr9wYV8lWg%3D%3D&trackingId=iMTwqPU%2F3PGVr1LS%2Fia3wQ%3D%3D&trk=flagship3_search_srp_jobs,php full stack developer  m f :askblue descrição do emprego: php full stack developer  m f  id:  8957278  data   12-10-2020  empregador   askblue  país da emprego   portugal  distrito   lisboa  categoria s    informática e tecnologias  intervalo salarial   informação exclusiva jobmatch descrição da empresa  descrição do anúncio  a askblue procura php full stack developer  m f  para integrar projeto em cliente em lisboa   requisitos necessários experiencia como full stack developpe rem php conhecimentos nas framework  : angular   react   view   jquery fluente em inglês: nível de francês no mínimo b2 bom relacionamento interpessoal e capacidade de trabalho em equipa  oferece-se estabilidade e integração numa empresa em constante crescimento  integração numa equipa dinâmica e motivada  oportunidade de inserção em projetos tecnologicamente desafiantes  com equipas dinâmicas e que privilegiam a inovação  askblue - business & technology nível de experiência assistente setor tecnologia da informação e serviços software recrutamento e seleção tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
6,Fullstack Developer,Celfocus,"Vila Nova de Gaia, Porto, Portugal",Check link,5 candidatos,Anunciada há 1 semana,1,0,0,0,0,0,1,1,0,1,https://www.linkedin.com/jobs/view/2383620128/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=fc3RfA%2F4dPXiVr9wYV8lWg%3D%3D&trackingId=cn5hnelkNZ2mgnvkjhbmgw%3D%3D&trk=flagship3_search_srp_jobs,make an impact by working for sectors where technology is the enabler  where everything is ground-breaking and there’s a constant need to be innovative  be part of the team that combines business knowledge  technological edge and a design experience - who complement and help each other in developing solutions and experiences for digital clients  face challenges and learn other ways of thinking and seeing the world  there’s always room for your energy and creativity   about the role  we are looking for a java fullstack developer to join our online team  this team specializes in providing online  retail and mobile solutions as well as developing mobile applications  you should be comfortable with java and spring but also have a passion for frontend development since it will be a crucial part of your tasks   as part of your mission you will participate in all phases of the development cycle  requirements  design and implementation  testing  rotate through various roles from front to back-end to get good exposure to all parts of the project update current software systems  making improvement suggestions create well designed  testable  efficient code assist in preparing and producing releases of software components write training manuals  what are we looking for? bachelors’ degree in computer science or similar strong understanding of object-oriented programming 2  years experience as a java software developer  experience with hibernate hands-on experience developing in html  css and javascript  vue    ext    react   or angular    solid knowledge of spring framework knowledge of web architectures and services   soap  rest   on  etc   experience with continuous integration tools  like git  jira  jenkins  maven  nice to have knowledge of agile development methodologies  personal traits ability to think creatively strong attention to detail efficient time management skills excellent interpersonal skills motivation for international projects and ok if travel is included willingness to collaborate with other players strong communication skills  we want people who like to roll up their sleeves and open their minds  believe this is you? come join the team! nível de experiência assistente setor tecnologia da informação e serviços software segurança de redes e computadores tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
8,Senior Full-Stack Software Engineer,Salsify,"Lisboa, Lisboa, Portugal",Check link,2 candidatos,Anunciada há 6 dias,0,0,0,1,0,0,0,0,0,0,https://www.linkedin.com/jobs/view/2339001974/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=fc3RfA%2F4dPXiVr9wYV8lWg%3D%3D&trackingId=Y6BxNavLemrEP5mOAvPG%2Bg%3D%3D&trk=flagship3_search_srp_jobs,salsify empowers brand manufacturers to win on the digital shelf by delivering the commerce experiences consumers demand anywhere they choose to shop online  the world's biggest brands including mars  l'oreal  coca-cola  bosch  and gsk use salsify every day to stand out on the digital shelf  to date  salsify has raised a total of $198 1 million in funding  led by warburg pincus  venrock  matrix partners  greenspring associates  underscore vc  and north bridge   for more information  please visit: http:  www salsify com   we’re in search of a seasoned software engineer to join our gdsn development team  our gdsn  global data synchronization network  product is new to the salsify family  and responsible for helping our most important customers transmit mission-critical product data to destinations across the world  since the product’s inception 2 years ago  we’ve achieved strong market traction  and are excited to continue our investment in this essential team and product   we’re looking for entrepreneurial candidates who are excited to transform early adopter feedback into the next set of well-architected and highly-scalable engineering solutions   how you'll make an impact collaboratively improve and expand the functionality of a new product undergoing rapid adoption by some of salsify’s most important customers  work directly with customers to understand their needs  grow as a leader within the team and organization  mentor junior members of the gdsn team  collaborate with go-to-market teams to launch new functionality  be proud of what you work on  learn from and give back to your team and the broader salsify community - contribute to the success of an exciting and fast growing boston-based company with global customers    you'll enjoy this role if you have 4  years of software engineering experience  a command of one or more server and client side languages  we’re built on a ruby and ember stack   experience mentoring junior engineers  a track record of building high-performance  production ready saas software -- you know that just because a query returns the results you need  it may not be the most efficient approach  comfort providing and receiving feedback on implementation ideas  preferably  prior experience with new product build-out and launch    salsify’s mission is to empower brand manufacturers to win on the digital shelf   helping brand manufacturers to win online is what we do  our culture is who we are  we are empowered  we are positive thinkers  we take action  we care deeply  these values have driven salsify’s growth and earned the company numerous top workplace awards   we are headquartered in boston and have hubs in lisbon  portugal   chicago and remote offices around the globe  if you are excited to work in a fast-paced environment with a team that values agility  curiosity and passion  we want to hear from you!  salsify loves a good success story and it would be our privilege to help write yours! we recognize that talent and potential come in all forms and that years of experience does not guarantee on the job effectiveness or leadership potential  our hiring process involves recognizing a person’s achievements  subject matter expertise  and passion  not just check marks next to a job description  if you have an interest in our roles please do not hesitate to apply - we would be happy to speak with you!  salsify is committed to being an equal opportunity employer  we believe that diverse perspectives yield strong and happy teams  our employees and customers win when we have a variety of opinions and experiences  if you have a disability  require a religious accommodation or if there is anything we can do to make you more comfortable during our recruitment process  please let us know at talent@salsify com   nível de experiência júnior setor marketing e publicidade software internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
10,Software Engineer,Premium Minds,"Lisboa, Lisboa, Portugal",Check link,1 candidato,Anunciada há 2 semanas,0,0,0,0,0,0,0,0,0,0,https://www.linkedin.com/jobs/view/2394047819/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=fc3RfA%2F4dPXiVr9wYV8lWg%3D%3D&trackingId=%2FlZ9rT7GPnGHavvxHlKRxQ%3D%3D&trk=flagship3_search_srp_jobs,we’re searching for a software engineer who is passionate about programming:someone with attention to detail  someone who searches for solutions instead of excuses  we’ll provide an excellent work environment  a competitive salary for a full-time job  health insurance  mobile phone  and your monthly balance in our internal virtual currency app   requirements  don't fear to learn new technologies and technical approaches to application development be good at problem solving learn fast and be eager to learn be able to develop the full stack  even if you prefer backend or frontend enjoy collaborating and working with others  valued skills experience with object oriented programming experience with functional programming develop and be mindful of unit testing know  and don't fear to use debug tools  cultural requirements expect and encourage the best in everyone you interact with share information and knowledge proactively being sincere and straightforward  admitting your mistakes being self-driven and work towards a common team or company purpose speak and understand portuguese  english and spanish are valued languages   about premium minds  we are a software house specializing in web apps and systems integration with satisfied demanding customers in portugal  spain  switzerland  germany  uk and usa  we have teams composed of software engineers  software architects  designers  software quality engineers and systems administrators  working all together at avenidas novas  close to three subway lines  entrecampos train station  bus stops and several gira stations  lisbon’s municipal bikes   here  we value people over processes  and empower autonomy through a bottom-up approach  we are an approved partner of digital knights  which places us among the 7% of software houses that fulfill their required technical quality  and were considered one of the 15 best workplaces in portugal in 2018 by exame magazine  we’re more than 100 happy people following an agile philosophy  and growing  talk to us by sending an email toor  even better  just show up for a visit! poderá encontrar o anúncios original publicado em: https:  www itjobs pt oferta 369439 software-engineer nível de experiência assistente setor tecnologia da informação e serviços software internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
12,Fullstack Developer,Syone,"Alfragide, Lisboa, Portugal",Check link,3 candidatos,Anunciada há 2 meses,0,0,1,0,0,0,1,0,0,1,https://www.linkedin.com/jobs/view/2309335856/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=fc3RfA%2F4dPXiVr9wYV8lWg%3D%3D&trackingId=ATfNWdwtFvTxtQZRtZsUQw%3D%3D&trk=flagship3_search_srp_jobs,job description  we are looking for a fullstack developer to integrate our team!  in this project you'll have the opportunity to develop in java  c# and also in elasticsearch databases!  don't have experience in elasticsearch? don't worry! we'll give you all the training that you need to be successful at syone   your main responsabilities java development on the infrastructure defined for bam  business activity monitoring   interface programming with c # programming language  development in elasticsearch databases  development on real-time processing architectures in java and computing in memory  development on the wso2 event processor - siddhi  requirements  what do i need to bring? experience in java and c# development  integration technologies experience  what will be valued? elasticsearch database knowledge   spring  angular   wso2  fluency in english  technical certification  what can syone offer me? integration in an organization with profound and sustained growth and involvement in pioneering projects with innovative technological solutions  strong it training plans  professional evolution with intervention in ambitious technological projects  both national and internationally  nível de experiência assistente setor tecnologia da informação e serviços software serviços financeiros tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
14,Java Developer with Angular (m/f),ADENTIS,"Lisboa, Lisboa, Portugal",Check link,5 candidatos,Anunciada há 3 semanas,1,0,0,0,0,0,0,0,0,1,https://www.linkedin.com/jobs/view/2365643218/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=fc3RfA%2F4dPXiVr9wYV8lWg%3D%3D&trackingId=ilXnQ1frbYPxGjif%2BvBs6Q%3D%3D&trk=flagship3_search_srp_jobs,do you have academic or professional experience in the it area?  do you use terms like r&d  web development  mobile  bi  cloud & data center  systems administration  project management or functional analysis in your vocabulary?  then we speak the same language!  adentis is a technological consultancy agency focused on innovation and specialized in the development of it projects  with presence in portugal since 2016  and the time has come to get to know each other better!  need to have bachelor or masters in computer engineering or similar  solid knowledge of database concepts  knowledge of java  javascript  html  css  web services  good level of english  and know angular2  within full stack development projects  java in development projects  3 plus years   nice to have experience in project life cycle activities on development and maintenance projects  experience in design and architecture review  send us your application to with refª pgr javang itj or visit our website at    we innovate with you!  web:54 183 199 59:linkedinbot 1 0  compatible  mozilla 5 0   http:  www linkedin com :2021-01-29 05:46:04 nível de experiência assistente setor tecnologia da informação e serviços software recursos humanos tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
16,Fullstack Developer,Infosistema,"Lisboa, Lisboa, Portugal",Check link,5 candidatos,Anunciada há 3 meses,1,0,1,0,0,1,1,1,0,0,https://www.linkedin.com/jobs/view/2267704498/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=fc3RfA%2F4dPXiVr9wYV8lWg%3D%3D&trackingId=dl5uEcfMzOPtBp7vHe8k7w%3D%3D&trk=flagship3_search_srp_jobs,u first!  in a constantly changing world  where speed and agility are essential  we simplify and automate the operations of organizations  providing the best user experience  with the simplification of processes  through technological innovation  we are proud to be part of joyn  an international group of it companies with over 20 years of business experience  with projects in more than 9 countries and more than 400 employees  our experience  national and international  allows us to offer our customers the most innovative and diversified technological solutions adapted to their needs  our values - agility  flexibility and competence - are reflected by our work  this is the only way we can effectively contribute to the success of our customers   we’re looking for new team members with the profile of full s tack developer  the main responsibilities will be software development with react   angular  p & servlets   f  spring mvc javascript  react  redux  storybook  grunt  webpack  oo  distributed and architectural design patterns  sql  nosql  redis  elastic  cloud infrastructure  azure  aws  docker  kubernetes  terraform  required skills and experience degree in computer science or similar  development experience  3  years   full-stack experience in c# and javascript  experience with high-scale web applications  distributed systems and apis  experienced in devops and promoter of automation  fluency in english   excellent soft skills   make it happen attitude    we offer integration in our young  dynamic and experienced team  with whom you can learn a lot  in an excellent environment and with excellent working conditions  remuneration compatible with experience and demonstrated knowledge   flexible working hours  work from home policy  opportunity to work on fast-growing projects where you will work side by side with decision-makers  training conventions with the team  training and technological certification plan  possibility of usufruct discounts in various partners in the area of fitness  health  beauty  etc  __________________  by submitting my application  i express my consent for the processing of my personal data  by infosistema - sistemas de informação s a  for the purpose of integration in recruitment processes  sharing information on ongoing recruitment processes  data sharing with infosistema clients  sending opportunities communication and assessing professional interests  for more information access our privacy policy nível de experiência assistente setor tecnologia da informação e serviços recrutamento e seleção recursos humanos tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
18,Java Developer,Decskill,"Lisboa, Lisboa, Portugal",Check link,0 candidatos,Anunciada há 3 semanas,0,0,0,0,0,0,0,0,0,1,https://www.linkedin.com/jobs/view/2398990918/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=fc3RfA%2F4dPXiVr9wYV8lWg%3D%3D&trackingId=vzY53Ip1BL7iu9Rtfdordw%3D%3D&trk=flagship3_search_srp_jobs,"java developer:decskill - tecnologias de informação descrição do emprego: java developer id:  8946966  data   08-10-2020  empregador   decskill - tecnologias de informação  país da emprego   portugal  distrito   lisboa  categoria s    informática e tecnologias  intervalo salarial   informação exclusiva jobmatch  descrição do anúncio  decskill is 100% portuguese technological company  founded in 2014  and we currently have more than 200 employees  decskill operates in both national and international markets  with offices in lisbon  oporto and a coruña  capable to provide services to any location in the national territory   how can decskill be an accelerator to your career?  we currently operate in 3 major areas: outsourcing by decskill  augmented reality and computer vision products and solutions  by proskill  and agile training and coaching  by getskill   the success of decskill is built from the inside out  with talented employees and constant evolution  with innovative aspirations and a commitment to make a difference   we are looking for a java developer for lisbon   required skills  » 3  years of experience in unix linux systems   » good experience in ci cd tools and technologies and  in general  in “infrastructure as code” solutions   » experience with one or more of the following virtualisations  containerization and automation technologies: ansible  docker  kubernetes   etc    » 3   experience working as a full stack java developer  with excellent knowledge in software design and clean code principles  with knowledge of the main integrated development environments  preferable eclipse or intellij idea   » good experience in designing and implementing apis  e g   restful architectures  soap services    » good experience of java build tools  maven  gradle  etc     » good knowledge of one or more of the following data definition languages: xml xsd   on   if you’re interested in this job please send your curriculum vitae in english with the reference “jfo_java_mob""  nível de experiência assistente setor tecnologia da informação e serviços software recrutamento e seleção tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação"
