,Job position,Company,Location,Dimension,Candidates,Post time,JavaScript,Python,C#,Ruby,.Net,SQL,Angular.js,React.js,Node.js,Java,Links,Body
0,Java Developer,Decskill,"Lisboa, Lisboa, Portugal",201-500 funcionários,0 candidatos,Anunciada há 4 semanas,0,0,0,0,0,0,0,0,0,1,https://www.linkedin.com/jobs/view/2394375297/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=zTtR%2FTAcJVuLuUZVdVvFtQ%3D%3D&trackingId=OO5GrMNu39ueGvCOiwISHA%3D%3D&trk=flagship3_search_srp_jobs,"java developer:decskill - tecnologias de informação descrição do emprego: java developer id:  8938581  data   06-10-2020  empregador   decskill - tecnologias de informação  país da emprego   portugal  distrito   lisboa  categoria s    informática e tecnologias  intervalo salarial   informação exclusiva jobmatch  descrição do anúncio  decskill is 100% portuguese technological company  founded in 2014  and we currently have more than 200 employees  decskill operates in both national and international markets  with offices in lisbon  oporto and a coruña  capable to provide services to any location in the national territory   how can decskill be an accelerator to your career?  we currently operate in 3 major areas: outsourcing by decskill  augmented reality and computer vision products and solutions  by proskill  and agile training and coaching  by getskill   the success of decskill is built from the inside out  with talented employees and constant evolution  with innovative aspirations and a commitment to make a difference   we are looking for a java developer for lisbon   required skills  » 3  years of experience in unix linux systems   » good experience in ci cd tools and technologies and  in general  in “infrastructure as code” solutions   » experience with one or more of the following virtualisations  containerization and automation technologies: ansible  docker  kubernetes   etc    » 3   experience working as a full stack java developer  with excellent knowledge in software design and clean code principles  with knowledge of the main integrated development environments  preferable eclipse or intellij idea   » good experience in designing and implementing apis  e g   restful architectures  soap services    » good experience of java build tools  maven  gradle  etc     » good knowledge of one or more of the following data definition languages: xml xsd   on   if you’re interested in this job please send your curriculum vitae in english with the reference “jfo_java_mob""  nível de experiência assistente setor tecnologia da informação e serviços software recrutamento e seleção tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação"
2,Senior Full Stack Java Developer (m/f/div),Natixis in Portugal,"Porto, Portugal",1.001-5.000 funcionários,23 candidatos,Anunciada há 1 mês,1,0,0,0,0,0,1,0,0,1,https://www.linkedin.com/jobs/view/2339872138/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=zTtR%2FTAcJVuLuUZVdVvFtQ%3D%3D&trackingId=zt%2BoEQOPftlv2DZf3FXXKw%3D%3D&trk=flagship3_search_srp_jobs,anunciada por bruna alves 2° senior talent acquisition specialist at natixis in portugal envie inmail as natixis innovation hub  natixis in portugal mission is to transform traditional banking by developing innovative solutions for the bank’s business  operations and work culture  being a key driver of the company’s culture of agility and innovation  teams of it and banking support activities work in an integrated  inclusive and transversal way  supporting all the business lines and country platforms    we are now looking for a full stack java developer to join the it global trade team in porto  a team in charge of the maintenance of around 10 applications on cash management perimeter   this person will operate both for maintenance & project activities and for current operational activities    required technical skills:  technologies: java ee  javascript  html5  css3  angular  soap  rest  oracle   on  jboss  framework: mvc  spring  devops tools: jenkins  bittbucket  xl release  xl deploy    in addition:  fluent in english  french knowledge would be a plus   demonstrated experience  15 20  years  on development tools  curiosity  autonomy  continued appetite for technology   strong writing skills  good relationship skills  teamwork capabilities and sense of service  ability to make commitments and to meet them   a previous experience in an international context would be a plus      main tasks and activities: design  specify and estimate the development to cater business and functional requirements  develop the component   run unit and integration tests  participate in user acceptance tests   deploy the component in development  bench environments or supervise the deployment in production environments  in coordination with production team  devops logic     current operational activities:  lead the business as usual process: production monitoring and operating condition   intervene in an event of incident   provide supports to end users   maintain or update development environment and supervise maintenance and update of production environments  in coordination with production team  devops tools   write or keep up to date the operating documentation    additional activities as a senior :  propose enhancements of practices  technical practices  methodology  etc…  contribute to the sharing of knowledge   contribute to the onboarding and the improvement of junior dev    #muchmorethanjustajob early morning  campo 24 de agosto  in 4 minutes  you are clocking in at the office  after grabbing a cup of coffee and fresh fruit  pick up your laptop and choose your spot for the day  it's going to be a busy one: french class before lunch and  just after  quick medical appointment at natixis doctor's office  lunch break  outside in the big terrace  look at your crops at the urban garden  ready to harvest!  or  if you feel like stretching your legs  walk downtown to grab lunch  back inside  quick sprint review  working together anywhere means virtual happy birthday to that colleague in paris that just turned 35   the afternoon went flying  tasks  reports  calls  some jokes with your teammates   end it on a high note: just one playstation game or the final match for that ping-pong tournament  tomorrow  you complete that certified technical training and the day after  you will work from home  taking advantage to finally do that online course on udemy  once you are done with your tasks for the day  you can visit the office for a board games session or show up at the rehearsal of one of natixis bands  if that is too steady for you  meet your colleagues to surf some waves or join them in a football match  nível de experiência pleno-sênior setor tecnologia da informação e serviços tipo de emprego tempo integral funções de trabalho tecnologia da informação
4,Software Team Leader (M/F),Kelly - Portugal,Lisboa e Região,5.001-10.000 funcionários,2 candidatos,Anunciada há 3 dias,1,0,0,0,0,0,0,0,0,1,https://www.linkedin.com/jobs/view/2373166669/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=zTtR%2FTAcJVuLuUZVdVvFtQ%3D%3D&trackingId=v%2Fnbru83HkDbGODbrRumzw%3D%3D&trk=flagship3_search_srp_jobs,kelly it resources is recruiting a software team leader to directly integrate our clients offices in lisbon  our client is a software house leader in the development of cloud-native content services   key responsibilities: manage the development team and all the aspects of our client platform  such as new features  bug fixing  performances and improvements  define the team's organizational structure and the communication with the engineering team  guarantee that the team works to achieve and deliver the expected results by the customers  have a proactive attitude to participate in the planning of the company processes  help the hiring effort with hr and architects   requirements: more than 5 years of programming as a full-stack developer and at least 3 years as a team leader  development experience with java  javascript  mongo db and docker  experience with unix systems  knowledge in continuous integration tools such as jenkins  experience with containers  kubernetes and cloud providers  aws  azure  google cloud  is a plus  fluency in english   if you meet the requirements above  submit your application online! nível de experiência pleno-sênior setor software tecnologia da informação e serviços redes tipo de emprego tempo integral funções de trabalho analista tecnologia da informação gerenciamento
6,"Oferta de emprego: Full Stack Developer para Lagoa, Algarve.",cf,"Faro, YT",2-10 funcionários,1 candidato,Anunciada há 2 meses,0,1,0,0,0,0,0,0,0,0,https://www.linkedin.com/jobs/view/2324746042/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=zTtR%2FTAcJVuLuUZVdVvFtQ%3D%3D&trackingId=MhA46UOLG7he5ochAQrQEw%3D%3D&trk=flagship3_search_srp_jobs,oferta de emprego: full stack developer para lagoa  algarve :cf lda  descrição do emprego  full stack developer para lagoa  algarve  » cf lda  » ref: 7114439  » 24-11-2020  » faro  » informática   programação    detalhe da oferta  a activbookings é um agregador de atividades turísticas  que atualmente conta com uma marketplace de atividades e experiências  um ecossistema de afiliados e um booking engine que foi criado com base nas necessidades dos operadores turísticos que precisavam de gerir e controlar as suas experiências e aceitar reservas online em tempo real   e é efetivamente essa a nossa missão  melhorar constantemente o nosso ecossistema de gestão e vendas dos nossos clientes de animação turística e marítimo turística com mais eficiência e com o objetivo de aumentar as suas reservas e receitas   acreditamos que conseguimos tornar a vida dos nossos clientes mais fácil e lucrativa  nós cuidamos da tecnologia para que os nossos operadores turísticos possam concentrar-se nos seus clientes e no que eles realmente adoram fazer: disfrutar das atividades de animação turística   referência da oferta: atualmente um full stack developer   referência da oferta licenciatura em informática ou similar  ou experiência significativa  paixão pelo conhecimento e pela inovação tecnológica  conhecimento tecnológico conhecimentos de framework django  conhecimentos elevados de python  conhecimentos de bootstrap e ajax  conhecimento e habilidade tecnológica para desenvolver soluções web inovadoras  gosto pelo mercado tecnológico e pela criação e desenvolvimento de produtos inovadores  referência da oferta experiência profissional de pelo menos 1 ano em funções similares  experiência de produção de código em ambiente web  ambição perfil dinâmico e proactivo  gosto pelo desenvolvimento do produto e do projecto  se corresponde aos requisitos apresentados por favor candidate-se através do e-mail: *** candidatura online ***  com a ref: fullstack-developer-lagoa nível de experiência assistente setor marketing e publicidade tecnologia da informação e serviços internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
8,Full-Stack / Senior Software Engineer / Outsystems Crackerjack,S4 Digital,"Lisboa, Lisboa, Portugal",201-500 funcionários,1 candidato,Anunciada há 2 dias,1,0,1,0,0,0,0,1,0,0,https://www.linkedin.com/jobs/view/2381345519/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=zTtR%2FTAcJVuLuUZVdVvFtQ%3D%3D&trackingId=MEImI632ihDQe0vtF9amXw%3D%3D&trk=flagship3_search_srp_jobs,anunciada por mariana hostalacio 2° senior manager at s4 digital envie inmail in a world where great is no longer good enough  customers need partners to create technology solutions and build a sustainable competitive advantage  s4-digital is driving into the technology world  inspired and inspiring  creating strong teams along the way and building roads for the next journey  enjoying every ride is part of our dna  what about you? do you want to be a part of this journey? if so  join us!  what will you be doing? as a full-stack software engineer in the s4 digital outsystems cluster  you’ll be working with your team designing and developing solutions  mostly using outsystems platform  for multiple clients around the world  we also expect you to innovate and bring development best practices into your team while you keep looking at the upcoming technologies and frameworks  do you        feel that you are a javascript  c# and or outsystems expert?     enjoy challenging yourself to design systems that serves multiple clients?     like to deal with complexity and uncertainty?     enjoy taking on new challenges and stepping out of your comfort zone?     look for a place where you can constantly create collaboration opportunities?     wake up eager to brainstorm with other colleagues to solve the next challenge? tick all the boxes? you might just be the person were looking for  here is what you need to succeed in this job:  bachelors or master's degree in software engineering  computer science  or similar  if you do not have one but you have a solid understanding of computer science and software engineering fundamentals  we still want to hear from you  more than 4 years of javascript and c# experience or equivalent  proven experience with outsystems platform solid understanding of web architectures   experience with testing frameworks and methodologies   experience with react or typescript is a plus  passion to analyse and design elegant solutions for high-tech problems  experience in mentoring more junior software engineers  drive to innovate and bring development best practices into your team  drive to understand what are the upcoming technologies and frameworks  good communication skills and fluency in english  what we're offering:  excellent opportunity to work in an international group  dynamic work environment  free access to language classes and other training   still not sure you should apply?  more than creating solutions  we push and inspire our people to go further and deliver innovation anytime  anywhere   nível de experiência júnior setor tecnologia da informação e serviços tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
10,"Senior Full Stack Developer - Porto, Portugal",Trillium,"Porto, Porto, Portugal",11-50 funcionários,9 candidatos,Anunciada há 1 semana,1,0,1,0,0,1,0,1,0,0,https://www.linkedin.com/jobs/view/2381960128/?eBP=JOB_SEARCH_ORGANIC&refId=zTtR%2FTAcJVuLuUZVdVvFtQ%3D%3D&trackingId=XaXt%2FeCX%2BX1t7vyVa4OUuw%3D%3D&trk=flagship3_search_srp_jobs,senior full stack developer  microsoft c#  net   azure  asp net mvc  ci cd agile    trillium is a technical innovator delivering digital transformation for membership organisations  using solid design principles  continuous integration  continuous delivery and build automation  as well as jira and confluence tool   as a senior developer you will be responsible for technical development in a team and working closely with a technical analyst   you will be involved on intergations with microsoft dynamics 365 and 3rd party systems such a lms  learning managemnt system   the role will also involve code reviews and architectural overview as you'll be working across the full development lifecycle with a focus on backend development to deliver highly scalable and available systems   requirements you have a strong experience with the microsoft technology stack   net  c#   asp net  mvc api  you are familiar with solid design principles you have worked on highly distributed  real-time systems you are an advocate of agile scrum development you're familiar with unit testing  integration testing  you familiar with continuous integration   continuous delivery   build automation you have excellent communication and interpersonal skills   technical requirements  asp net mvc  model view controller   c#  content management system  umbraco – expert  sitecore – fundamental  rest apis  client-side web development technologies html – expert  css sass – expert  responsive design – expert  javascript – intermediate  jquery – expert  react   – fundamental  bootstrap – advanced  database application  sql – advanced nosql – advanced  microsoft azure  benefits a flexible benefits package you can tailor to suit you professional development accelerated career progression an environment that encourages entrepreneurial spirit  why work for trillium?  we hire mindsets  not just skillsets  we hire people because of how they think  not just what they do  ideas are actively encouraged and embraced from the very first day   we do great things for clients who do great things  our clients are organisations that serve people  not just bottom lines  they include membership bodies  chartered institutes and not-for-profit organisations  which assist their constituents with career development  fund-raising and support for essential causes  we help them enable technology to improve the quality of their services and generally make the world a better place   your passions are our passion  our office is a cultural melting pot  with people from at least a dozen nationalities  who all have amazing stories to share! personal interests are similarly diverse  whatever it is you're into outside of work  there is sure to be someone here who shares a similar interest in learning or participating   please note no agencies  nível de experiência pleno-sênior setor marketing e publicidade tecnologia da informação e serviços software tipo de emprego tempo integral funções de trabalho tecnologia da informação
12,Full Stack Technical Lead .Net,LineTen,"Lisboa, Lisboa, Portugal",51-200 funcionários,3 candidatos,Anunciada há 1 semana,0,0,0,0,0,0,0,0,0,0,https://www.linkedin.com/jobs/view/2388190694/?eBP=JOB_SEARCH_ORGANIC&refId=zTtR%2FTAcJVuLuUZVdVvFtQ%3D%3D&trackingId=CGVuliteVkm4kcHK%2BTsOOg%3D%3D&trk=flagship3_search_srp_jobs,tech lead  net portugal  we are seeking an experienced senior  net developer and technical lead to help us to initially establish and then evolve and grow our portugal based product development team in order to continue to dominate one of the most buoyant  fastest-growing industries  that is changing the world and the speed of which we receive items   lineten is on a mission to crack the code on urban delivery  by leading with our values and putting carrier partners first  we are paving the way for better delivery experiences  lineten is a new approach to delivery with a free carrier api and an operations management platform for shippers  we're building the first global data-driven last-mile network that has the potential to solve industry-wide problems   this is a remote position indefinitely but you must be based in porto  portugal   you will be joining a passionate  highly skilled  technical team of over 30  based in the uk  spain and portugal   who work on 3 core products  each with their own technical frameworks  using common front-end and back-end libraries  you will have gained experience of writing high quality and maintainable code throughout your career and be looking to take the next step into a leadership role  as well as setting the standards for the portugese software engineering team and mentoring junior members  you will also be responsible for liaising with the product and qa teams to build out the product vision   we are seeking a forward-thinking dynamic technical software engineer and leader  who wants to lead a game changing team and solve real-world business problems using cutting edge technology and thinking   as well as development through the full systems development life cycle  you will also be responsible for:  backlog grooming and work planning setting and following coding standards weekly sprint prioritisation  we have 2 weekly sprints  participate in daily stand-ups  sprint reviews past and current  weekly development meetings and 121's weekly solution design sessions participate in code reviews work with qa team to create test plans for new or modified functionality documentation using confluence and tasks using jira  atlassian software suite  participate in defining requirements  acceptance criteria early on with product owners troubleshooting production issues   experience:  seniority in  net core 3  experience in team lead and mentoring worked on developing architecturing a complex product end-to-end solid  tdd  ddd  bdd  microservices  headless cms  design patterns experience with frontend development  preferably vue  or similar   framework  knowledge of any other modern programming languages a plus  experience in integration with external rest apis outside the box thinking mentality and possibility to see the bigger picture  hands-on mentality good working knowledge of git and docker good communication skills  we need you to be comfortable with:  pair programming team work  knowledge sharing  training  guiding  helping new and existing team members  clear communication for expressing problems  blockers and any other matters automated software delivery pipelines  lineten is rapidly growing and we need ambitious  driven individuals to help us disrupt the logistics industry and take us to the next level  fast growth  means excellent career development opportunities for individuals who join us now   be part of something big  we're here to change things and want to make sure we develop our people along the way  nível de experiência júnior setor tecnologia da informação e serviços software internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
14,.Net Fullstack Developer,Novabase,"Lisboa, Lisboa, Portugal",1.001-5.000 funcionários,15 candidatos,Anunciada há 3 meses,1,0,1,0,0,1,1,0,0,0,https://www.linkedin.com/jobs/view/2317374064/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=zTtR%2FTAcJVuLuUZVdVvFtQ%3D%3D&trackingId=1J23oelHxWps6VFErZBPPQ%3D%3D&trk=flagship3_search_srp_jobs,o que valorizamos licenciatura ou mestrado em gestão  tecnologias ou equivalente  2 a 3 anos de experiência como backend ou full-stack  net developer experiência em projetos de desenvolvimento como  net developer  c#  asp net  web api  sql mvc  entity framework  oauth   experiência com javascript  angular   css  html  preferencial   boa capacidade de comunicação e relacionamento interpessoal  espirito crítico  capacidade de trabalho em equipa  nível de experiência assistente setor tecnologia da informação e serviços software redes tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
16,iOS Developer,GoodBarber,"Coimbra, Coimbra, Portugal",11-50 funcionários,0 candidatos,Anunciada há 1 semana,0,0,0,0,0,0,1,0,0,0,https://www.linkedin.com/jobs/view/2399427349/?eBP=JOB_SEARCH_ORGANIC&refId=zTtR%2FTAcJVuLuUZVdVvFtQ%3D%3D&trackingId=l88t0IneuEJy4TrXuMvY1w%3D%3D&trk=flagship3_search_srp_jobs,job description  our frontend engineering team is looking for a senior ios developer to join our team in our office in coimbra  portugal   goodbarber has its own app builder mechanism  that's so  you won't just be working on an app  but the engine that will be used to create thousands of apps  you will collaborate closely with product  design and qa to spec  build  test and deploy new features   you will work under supervision on various sized projects  even if you are an ios expert  you will also have the possibility of working on different technologies  like android or angular  it will depends on your motivation to accept a new challenge in a different technology   our team is spread in this different offices ajaccio  corsica   france [hq] team size: 40 employees  departments: administration  product development  engineering  marketing  customer support  office location: coimbra  portugal team size: 5 - 9 employees departments: engineering office location: lisbon  portugal departments: customer support office location: new york city  usa departments: customer support office location: if you join our team  you will not just work with our team in coimbra  you will always be in constant communication with the rest of the team from our office in corsica  for that reason we do some regular trips to corsica  to be in touch with the rest of the team  also  during the time we work remotely from coimbra  we have daily meetings with all our team and keep in touch all the time   although  in coimbra you will join a community of other companies that is part of nest collective  you can find some of the events organized by this community here and here    here are some pictures of some of our office rooms in coimbra  feel free to visit us and say hi  missions & responsibilities craft new and improved features for the goodbarber engine analyze functional specifications  written by the functional project manager  and contribute to technical specifications  under the management of the technical lead  identification of the right technical solutions  definition of the technical architecture for given projects  within the general framework rapidly solve problems optimize the existing code for ease of use and performance prototype product concepts proactively look for ways to make the project better you’ll be part of the mobile team  to develop our core engine for ios motivation to learn new technologies what to find at goodbarber? job location: coimbra  portugal   fun  happy and politics-free work culture built on the principles of lean and self-organized be part of a international team work with a distributed team competitive salary full working desk: macbook pro  desktop monitor  among others covered parking spot  on parque horizonte  paid by company work in the downtown of coimbra 25 days of vacations regular trips to meet with our team in corsica  warning: risk of addiction to that beautiful island  joining the nest collective community  lots of fun with these guys  opportunity to learn and work in other frontend technologies work in our own product where our only stakeholders are in fact part of our team you don't have to manage our clients issues  you just have to focus on developing a high quality software  our support team will take care of our client issues   goodbarber is ranked as the 128th in the ft1000 europe’s fastest-growing companies  requirements 2y  of experience with ios sdk strong knowledge working with objective-c or swift experience with swift and auto layout strong experience consuming restful web services some published apps with relative success on the store keep updated with the most recent features of apple ecosystem strong oral and written english communication skills strong knowledge of git collaborative attitude when working with other team members strong problem solving skills backend and or full stack development experience is a plus experience in working on scrum methodology  if you think you have the right profile for the job  please apply using this form:  api:2a02:c207:2011:6863::1:39d709ee33eeea0d83c8d79b54067c81:2021-01-27 20:28:28 nível de experiência assistente setor tecnologia da informação e serviços software internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
18,Oferta De Emprego: Full Stack Developer ? Team Leader (M/F)-Porto,IBC|International Business Consulting,"Porto, Porto, Portugal",Check link,0 candidatos,Anunciada há 5 dias,0,0,0,0,0,0,0,0,0,0,https://www.linkedin.com/jobs/view/2394047043/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=zTtR%2FTAcJVuLuUZVdVvFtQ%3D%3D&trackingId=GfFm1C3rsuEn8IdAMNZSUA%3D%3D&trk=flagship3_search_srp_jobs,distrito: porto - concelho: porto  anúncio de emprego  full stack developer ? team leader  m f -porto » ibc | international business consulting » ref: 7160071 » 30-12-2020 » porto » informática   programação    detalhe da oferta  full stack developer ? team leader  m f   ibc is recruiting a full stack developer - team leader for a technology company based in the usa - a key player in the nurse call-system market - that intends to manage a software development team in portugal   job responsibilities  high proficiency in both front and back end coding will be required to see out a project from conception to final product  requiring good organizational skills and attention to detail leading a team of remote developers reporting to usa team  requirements  degree in computer science web development web application development familiarity with database technology such as mariadb or mysql experience with modern web application architectures  frameworks  and security best practices strong organizational and project management skills experience with developing for container deployment experience leading a small team of developers excellent verbal communication skills good problem-solving skills languages: fluent english  conditions  excellent opportunity to be part of a new it project in portugal salary framework according to the experience demonstrated integration in attractive and technologically innovative project full-time job remote work  to apply for this opportunity  please send your cv  in english  to *** candidatura online *** quoting reference r-202-20 nível de experiência júnior setor recrutamento e seleção recursos humanos consultoria de gerenciamento tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
