,Job position,Company,Location,Dimension,Candidates,Post time,JavaScript,Python,C#,Ruby,.Net,SQL,Angular.js,React.js,Node.js,Java,Links,Body
0,Full Stack Devops Developer,Syone,"Porto, Porto, Portugal",201-500 funcionários,0 candidatos,Anunciada há 1 mês,1,0,0,1,1,0,0,0,0,0,https://www.linkedin.com/jobs/view/2373723655/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=nopPtqkBDWw3OV7o8gWzVA%3D%3D&trackingId=DvXmknY33E2Pb7iaGnvuhw%3D%3D&trk=flagship3_search_srp_jobs,job description  positioned at the very heart of the organization  the team will actively involve itself with all services in the company  as the team works to bring existing services to the next level  it is continuously working on new applications  and finding ways of integrating the service propositions  key accountabilities  as one of the founding members of this new team  your role is fundamental to its success  with a proven track record and exceptional it skills  you will be in close contact with our small development teams stationed throughout europe   as you assess their applications and infrastructure  their policies and processes  you continually work to improve and mature their solutions   when your technical skills combine with your ability to communicate and operate in teams  you are effective and instrumental in bringing positive change  as your knowledge of the applications increases  you are able to identify opportunities for integration and increased efficiency  working closely with our business owners  your role is instrumental in guiding and contributing to a continuous stream of new projects   you are a full stack developer  comfortable working in a devops model   requirements   what do i need to bring? operate on a senior level  degree master in information technology or equivalent experience in the area  good command of the english language  you work well in teams  and have good communication skills  your technical expertise covers the following: kubernetes eks aks  containers openshift ecs  azure serverless services aws serverless: lambda stepfuctions  excellent api development skills  application monitoring  backend: python|go|node  | php | ruby |  net core  frontend: javascript | html | css | bootstrap  cicd pipelines technologies  linux os & ansible  what can syone offer me? integration in an organization with profound and sustained growth and involvement in pioneering projects with innovative technological solutions  strong it training plans  professional evolution with intervention in ambitious technological projects  both national and internationally  nível de experiência assistente setor tecnologia da informação e serviços software serviços financeiros tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
2,Java + React Fullstack Developer,"Wondercom, Project Management and Telecommunications","Lisboa, Lisboa, Portugal",501-1.000 funcionários,1 candidato,Anunciada há 3 dias,1,0,0,0,0,1,0,1,0,1,https://www.linkedin.com/jobs/view/2395000548/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=nopPtqkBDWw3OV7o8gWzVA%3D%3D&trackingId=OWyh%2Ba8CB8je2JQdlOddEQ%3D%3D&trk=flagship3_search_srp_jobs,a knowledgeworks é uma software house com vários projetos em curso nas mais variadas tecnologias  somos  por isso  capazes de tornar realidade  as visões dos nossos clientes   gostamos de ser desafiados e de sair da nossa zona de conforto   respiramos tecnologia que acreditamos ser um meio para atingir a solução   estás pronto para oferecer a excelência connosco?  procuramos um java fullstack developer na zona de lisboa  o que precisas?  cerca de 4 anos de experiência profissional na área desenvolvimento de restful api’s experiência de trabalho dentro do ecossistema react  o nosso stack é é react  redux  styled components e typescript  gosto por typescript e compreensão de javascript experiência em testes unitários  jest   testing library  experiência com java 8    junit   mocking frameworks bases de dados relacionais: sql e no-sql inglês avançado  obrigatório   local de trabalho: inicialmente remoto  depois em linda a velha  quando procuras fazer carreira e não apenas um trabalho  oferecemos-te:  possibilidade de participar em projetos tecnologicamente inovadores crescimento profissional e progressão de carreira através de formação contínua e atualizada às necessidades do mercado acompanhamento adaptado às tuas necessidades nível de experiência não aplicável setor serviços da informação tecnologia da informação e serviços tipo de emprego tempo integral funções de trabalho tecnologia da informação
4,FullStack Developer,Braver PC,"Aveiro, Aveiro, Portugal",1.001-5.000 funcionários,3 candidatos,Anunciada há 6 dias,1,0,0,0,0,1,0,0,1,0,https://www.linkedin.com/jobs/view/2390984351/?eBP=JOB_SEARCH_ORGANIC&refId=nopPtqkBDWw3OV7o8gWzVA%3D%3D&trackingId=ggOboflfPg3ITTcpoFkq3w%3D%3D&trk=flagship3_search_srp_jobs,s  joão da madeira  na bolder tech  a empresa tecnológica do grupo braver  com pólos em s  joão da madeira e lisboa  que desenvolve produtos e serviços próprios nomeadamente para eventos  desporto  turismo  esports e comunicação  queremos integrar na equipa  um a   fullstack developer – eventos  desporto  turismo   m f o   que pesquise  conceba  implemente e gira programas e aplicações  os teste e avalie  identifique e promova melhorias  escreva código eficiente e replicável  aplique procedimentos de controlo da qualidade  utilize eficazmente ferramentas  processos e métricas  mantenha e melhore os sistemas existentes  trabalhe em equipa com outros developers  designers ux e analistas de sistemas   são requisitos essenciais: formação superior em eng  informática ou similar  3 anos de experiência como developer com prática de desenvolvimento de soluções aplicacionais e de front end  web ou não web   domínio de html  css  php  javascript  wordpress e sql  experiência com node   ou typescript  github ou jira e metodologias agyle  fluência em inglês   valorizamos ainda: gosto pelo conhecimento e adopção rápida de novas tecnologias  capacidade analítica  atenção ao detalhe  espírito de equipa  capacidade de comunicação escrita e verbal  atitude calma  flexível e resiliente sob stress  orientação para o cliente   queremos estabelecer uma relação de longo prazo  com excelentes perspetivas de evolução numa organização profissional  cheia de energia ambição  trabalho tendencialmente remoto mas presencial em reuniões de equipa  com clientes e no apoio a eventos   agradecemos resposta com carta de motivação  acompanhada de c v  detalhado   para   guarda-se sigilo  nível de experiência assistente setor marketing e publicidade tecnologia da informação e serviços internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
6,Full-Stack Developer - ASP.NET MVC (m/f),24Web Design Studio,"Setúbal, Setúbal, Portugal",2-10 funcionários,0 candidatos,Anunciada há 1 semana,1,0,1,0,1,1,0,0,0,0,https://www.linkedin.com/jobs/view/2392044792/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=nopPtqkBDWw3OV7o8gWzVA%3D%3D&trackingId=aS%2FUs4UnZkrCxrlpz%2Br9GA%3D%3D&trk=flagship3_search_srp_jobs,a 24web é uma empresa especializada na área de desenvolvimento de software  criamos soluções tecnológicas de referência  desenhada às necessidades reais dos nossos clientes  estamos de momento a recrutar  para integração na nossa equipa interna pessoas confiantes  criativas  com grande sentido de responsabilidade que queiram marcar a diferença   disponibilidade imediata curto-prazo   queres ser um de nós e fazer parte deste projeto?  descrição de perfil  licenciatura em engenharia informática  ciências da computação ou similar experiência mínima de 2 3 anos c#  asp net mvc experiência html  css  javascript  frameworks javascript   conhecimentos de base de dados sql server  conhecimentos de webservices  soap  rest   conhecimentos sólidos em arquitecturas mvc  conhecimentos sólidos em entity framework  conhecimentos repositório git  capacidade e autonomia na resolução de problemas  fluência em inglês   oferta  integração numa equipa jovem dinâmica evolução de carreira remuneração compatível com experiência profissional excelente ambiente profissional    se queres fazer parte deste projecto  envia-nos a tua candidatura o quanto antes!!  estamos à espera do teu cv com descritivo de projectos  envia-o para:  web:54 183 199 59:linkedinbot 1 0  compatible  mozilla 5 0   http:  www linkedin com :2021-01-29 05:43:04 nível de experiência assistente setor marketing e publicidade tecnologia da informação e serviços software tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
8,Fullstack Developer,Check link,"Lisboa, Lisboa, Portugal",Check link,0 candidatos,Anunciada há 4 dias,1,0,1,0,1,1,0,0,0,0,https://www.linkedin.com/jobs/view/2394800771/?eBP=JOB_SEARCH_ORGANIC&refId=nopPtqkBDWw3OV7o8gWzVA%3D%3D&trackingId=0gukfBfxTUx0LBftyDDTHA%3D%3D&trk=flagship3_search_srp_jobs,we believe transparency  trust and integrity are the pillars of any business and relationship and that is what we promise our clients and employees who join our company kcs it   here  you can be totally sure about this: we value each person that joins us  we welcome everyone as part of this family and we do everything we can so that we can learn and grow together   fullstack developer  years of experience: 3   bachelor's or master’s degree in information systems   solid knowledge of technologies such as c# net  mvc  asp net  javascript  html  css   knowledge in sql  mysql    good knowledge of english   what can you expect from us?  integration in a professional  dynamic and constantly growing team that: values your professional and personal growth and offers you several training courses has a strong international presence and can provide you a experience abroad is always by your side  helps and values you in every single moment do you accept the challenge of coming with us?  send your cv to  we are kcs: we konnect  we unite  we kommunicate   we fight to offer better services  to go further every day  together   connected  as k  as one   api:2a02:c207:2011:6863::1:39d709ee33eeea0d83c8d79b54067c81:2021-01-28 17:52:11 nível de experiência assistente setor tecnologia da informação e serviços software recrutamento e seleção tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
10,Web developer (React) (m/f),Bee Engineering ICT,"Porto, Porto, Portugal",Check link,4 candidatos,Anunciada há 6 dias,1,0,0,0,0,0,0,1,1,0,https://www.linkedin.com/jobs/view/2392049336/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=nopPtqkBDWw3OV7o8gWzVA%3D%3D&trackingId=aenbr8d%2FpafdiIjob34%2FOQ%3D%3D&trk=flagship3_search_srp_jobs,um programador  um administrador de sistemas e um gestor de projeto entram num bar…  agora que despertámos a tua curiosidade  queremos a tua atenção   #honestidade  #compromisso  #exigência e uma pitada de #ambição são os ingredientes-chave para fazeres parte da colmeia   coloca-se tudo num shaker et voilá: és a pessoa certa para abraçar os melhores projetos na área da tecnologia e  mais do que isso  o nosso maior projeto – a equipa da bee   identificas-te? tens tudo isto? então vem desfrutar connosco   procuramos alguém que realmente seja apaixonado por desenvolvimento e com: licenciatura em engenharia informática ou semelhante  mínimo de 3 anos de experiência em desenvolvimento front-end  javascript  preferencialmente es6   experiência com react   experiência em html5  css3  redux  node    rest api’s   on  conhecimentos de desenvolvimento em web   ui corporativo   portais  compreensão de toda a arquitetura full-stack  pelo menos a nível conceptual  domínio das práticas comuns de engenharia de software  git  unit testing  integração contínua  gestão de dependências  controlo de versões         porquê escolher a bee?  training center- certificações técnicas e formações em várias áreas ao longo de todo o ano   bee with us - uma empresa orientada para a excelência e em crescimento   bee yourself - uma carreira profissional alinhada com o desempenho   bee for ever – asseguramos um plano de carreira e acompanhamento contínuo e personalizado    “work hard  bee yourself and have fun ”– eventos  momentos de partilha e muito mais!  let´s go… bee one of us  candidaturas: indicando a refª no assunto bee react ccg  web:54 183 199 59:linkedinbot 1 0  compatible  mozilla 5 0   http:  www linkedin com :2021-01-29 05:47:16 nível de experiência assistente setor tecnologia da informação e serviços software internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
12,Fullstack Java Developer (m/f),ADENTIS,"Lisboa, Lisboa, Portugal",201-500 funcionários,3 candidatos,Anunciada há 2 semanas,0,0,0,0,0,0,1,1,0,1,https://www.linkedin.com/jobs/view/2381551394/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=nopPtqkBDWw3OV7o8gWzVA%3D%3D&trackingId=u%2BArD1pwaf0q3RLa8%2BxuIw%3D%3D&trk=flagship3_search_srp_jobs,tens formação ou experiência profissional na área das ti?  usas no teu vocabulário termos como r&d  web development  mobile  bi  cloud & data center  administração de sistemas  gestão de projetos ou análise funcional?  então falamos a mesma língua!  a adentis é uma consultora tecnológica focada na inovação e especializada no desenvolvimento de projetos em sistemas de informação  presente em portugal desde 2016  e chegou a hora de nos conhecermos melhor!  só tens de ter licenciatura em engenharia informática ou similar  experiência como programador java full stack superior a 3 anos  excelente nível de inglês falado e escrito  e saber  angular  react e ou outras frameworks mvc web development  java  j2ee  soa web services  uml e ooad  trabalhar com as ferramentas maven e gradle  trabalhar com servidores aplicacionais tomcat  jboss e weblogic  jax e spring  envia-nos a tua candidatura para com a refª pgr javafull itj ou visita o nosso site em    inovamos contigo!  web:54 183 199 59:linkedinbot 1 0  compatible  mozilla 5 0   http:  www linkedin com :2021-01-29 05:43:37 nível de experiência assistente setor tecnologia da informação e serviços software recursos humanos tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
14,Fullstack Developer,Infosistema,"Alfragide, Lisboa, Portugal",51-200 funcionários,1 candidato,Anunciada há 3 meses,1,0,1,0,0,1,1,1,0,0,https://www.linkedin.com/jobs/view/2294593769/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=nopPtqkBDWw3OV7o8gWzVA%3D%3D&trackingId=yErGJQwKTHbNg4897OUO4Q%3D%3D&trk=flagship3_search_srp_jobs,u first!  in a constantly changing world  where speed and agility are essential  we simplify and automate the operations of organizations  providing the best user experience  with the simplification of processes  through technological innovation  we are proud to be part of joyn  an international group of it companies with over 20 years of business experience  with projects in more than 9 countries and more than 400 employees  our experience  national and international  allows us to offer our customers the most innovative and diversified technological solutions adapted to their needs  our values - agility  flexibility and competence - are reflected by our work  this is the only way we can effectively contribute to the success of our customers   we’re looking for new team members with the profile of fullstack developer the main responsibilities will be software development with:  react   angular  p & servlets   f  spring mvc javascript  react  redux  storybook  grunt  webpack  oo  distributed and architectural design patterns  sql  nosql  redis  elastic  cloud infrastructure  azure  aws  docker  kubernetes  terraform  required skills and experience:  degree in computer science or similar  development experience  3  years   full-stack experience in c# and javascript  experience with high-scale web applications  distributed systems and apis  experienced in devops and promoter of automation  fluency in english  excellent soft skills  make it happen attitude   we offer:  integration in our young  dynamic and experienced team  with whom you can learn a lot  in an excellent environment and with excellent working conditions  remuneration compatible with experience and demonstrated knowledge  flexible working hours  work from home policy  opportunity to work on fast-growing projects where you will work side by side with decision-makers  training conventions with the team  training and technological certification plan  possibility of usufruct discounts in various partners in the area of fitness  health  beauty  etc  __________________  by submitting my application  i express my consent for the processing of my personal data  by infosistema - sistemas de informação s a  for the purpose of integration in recruitment processes  sharing information on ongoing recruitment processes  data sharing with infosistema clients  sending opportunities communication and assessing professional interests  for more information access our privacy policy  powered by jazzhr  gkwnmzwzli nível de experiência pleno-sênior setor tecnologia da informação e serviços recrutamento e seleção recursos humanos tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
16,Fullstack Developer (m/f) ? Lisboa,Ankix,"Lisboa, Lisboa, Portugal",11-50 funcionários,1 candidato,Anunciada há 3 meses,0,0,1,0,1,0,0,0,0,0,https://www.linkedin.com/jobs/view/2265437430/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=nopPtqkBDWw3OV7o8gWzVA%3D%3D&trackingId=MVmjlPUYyOsr7JpGWbMjAw%3D%3D&trk=flagship3_search_srp_jobs,fullstack developer  m f  ? lisboa:ankix descrição do emprego: fullstack developer  m f  ? lisboa id:  8939391  data   06-10-2020  empregador   ankix  país da emprego   portugal  distrito   lisboa  categoria s    informática e tecnologias  intervalo salarial   informação exclusiva jobmatch descrição da empresa a ankix é uma empresa de competências tecnológicas  a atuar no mercado desde 1999  que presta serviços nas áreas de it outsourcing e consultoria   desenvolvimento à medida  o nosso posicionamento carateriza-se pela qualidade e inovação das soluções que propomos  assim como pela dedicação e orientação para o cliente e suas necessidades   acreditamos que são as pessoas que fazem as empresas  pelo que apostamos continuamente na nossa equipa e na promoção de uma cultura de integração e partilha!  descrição do anúncio  a ankix é uma empresa de competências tecnológicas  a atuar no mercado desde 1999  que presta serviços nas áreas de it outsourcing e consultoria   desenvolvimento à medida  o nosso posicionamento carateriza-se pela qualidade e inovação das soluções que propomos  assim como pela dedicação e orientação para o cliente e suas necessidades   acreditamos que são as pessoas que fazem as empresas  pelo que apostamos continuamente na nossa equipa e na promoção de uma cultura de integração e partilha!  estamos a recrutar para empresa o seguinte perfil  fullstack developer  m f  – lisboa licenciatura em engenharia informática ou similar  experiência profissional mínima de 2 anos na área  conhecimentos em asp net  c# e t-sql  autonomia e sentido de responsabilidade  espírito por trabalho em equipa e capacidade de iniciativa  capacidade de comunicação  bons conhecimentos de inglês  o que podes esperar de nós na nossa empresa  terás bastante acompanhamento semanal e mensal  o teu manager vai estar atento às tuas motivações e sugestões  tens acesso à plataforma online que podes tirar as formações que pretenderes  as vitórias e conquistas serão festejadas em conjunto  acompanhamento da nossa equipa de recursos humanos e suporte  feedback constante do teu trabalho  e como é óbvio bastantes eventos ? vem conhecer-nos e depois tiras as tuas conclusões! nível de experiência assistente setor tecnologia da informação e serviços software recrutamento e seleção tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
18,"Oferta de emprego: Full Stack Developer para Lagoa, Algarve.",cf,"Faro, YT",2-10 funcionários,1 candidato,Anunciada há 2 meses,0,1,0,0,0,0,0,0,0,0,https://www.linkedin.com/jobs/view/2324746042/?eBP=JOB_SEARCH_ORGANIC&refId=nopPtqkBDWw3OV7o8gWzVA%3D%3D&trackingId=04cyMO0WAXHWoJlBcwDjjw%3D%3D&trk=flagship3_search_srp_jobs,oferta de emprego: full stack developer para lagoa  algarve :cf lda  descrição do emprego  full stack developer para lagoa  algarve  » cf lda  » ref: 7114439  » 24-11-2020  » faro  » informática   programação    detalhe da oferta  a activbookings é um agregador de atividades turísticas  que atualmente conta com uma marketplace de atividades e experiências  um ecossistema de afiliados e um booking engine que foi criado com base nas necessidades dos operadores turísticos que precisavam de gerir e controlar as suas experiências e aceitar reservas online em tempo real   e é efetivamente essa a nossa missão  melhorar constantemente o nosso ecossistema de gestão e vendas dos nossos clientes de animação turística e marítimo turística com mais eficiência e com o objetivo de aumentar as suas reservas e receitas   acreditamos que conseguimos tornar a vida dos nossos clientes mais fácil e lucrativa  nós cuidamos da tecnologia para que os nossos operadores turísticos possam concentrar-se nos seus clientes e no que eles realmente adoram fazer: disfrutar das atividades de animação turística   referência da oferta: atualmente um full stack developer   referência da oferta licenciatura em informática ou similar  ou experiência significativa  paixão pelo conhecimento e pela inovação tecnológica  conhecimento tecnológico conhecimentos de framework django  conhecimentos elevados de python  conhecimentos de bootstrap e ajax  conhecimento e habilidade tecnológica para desenvolver soluções web inovadoras  gosto pelo mercado tecnológico e pela criação e desenvolvimento de produtos inovadores  referência da oferta experiência profissional de pelo menos 1 ano em funções similares  experiência de produção de código em ambiente web  ambição perfil dinâmico e proactivo  gosto pelo desenvolvimento do produto e do projecto  se corresponde aos requisitos apresentados por favor candidate-se através do e-mail: *** candidatura online ***  com a ref: fullstack-developer-lagoa nível de experiência assistente setor marketing e publicidade tecnologia da informação e serviços internet tipo de emprego tempo integral funções de trabalho engenharia tecnologia da informação
